,pattern,sum_diffs,match_1_piece_title,match_2_piece_title,match_1_part,match_2_part,match_1_start_measure,match_2_start_measure,match_1_end_measure,match_2_end_measure
5,"(-8, 2, 2, 2, 2)",0.0,Missa O gente brunette: Credo,Missa O gente brunette: Sanctus,[Contratenor],[Contratenor],16,9,17,10
23,"(-5, 2, 2, 2, 2)",0.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Kyrie,[Bassus],[Bassus],3,6,4,7
27,"(-5, 2, 2, 2, 2)",0.9166666666666667,Missa O gente brunette: Kyrie,Missa O gente brunette: Credo,[Bassus],[Tenor],3,17,4,18
30,"(-5, 2, 2, 2, 2)",0.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Sanctus,[Bassus],[Contratenor],3,76,4,77
32,"(-5, 2, 2, 2, 2)",1.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Sanctus,[Bassus],[Bassus],3,75,4,76
33,"(-5, 2, 2, 2, 2)",0.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Agnus Dei,[Bassus],SecundusSuperius,3,55,4,56
38,"(-5, 2, 2, 2, 2)",0.9166666666666667,Missa O gente brunette: Kyrie,Missa O gente brunette: Credo,[Bassus],[Tenor],6,17,7,18
41,"(-5, 2, 2, 2, 2)",0.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Sanctus,[Bassus],[Contratenor],6,76,7,77
43,"(-5, 2, 2, 2, 2)",1.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Sanctus,[Bassus],[Bassus],6,75,7,76
44,"(-5, 2, 2, 2, 2)",0.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Agnus Dei,[Bassus],SecundusSuperius,6,55,7,56
65,"(-5, 2, 2, 2, 2)",0.75,Missa O gente brunette: Credo,Missa O gente brunette: Credo,[Tenor],[Tenor],15,17,16,18
69,"(-5, 2, 2, 2, 2)",1.0,Missa O gente brunette: Credo,Missa O gente brunette: Sanctus,[Tenor],[Tenor],15,78,16,79
73,"(-5, 2, 2, 2, 2)",1.0,Missa O gente brunette: Credo,Missa O gente brunette: Credo,[Tenor],[Bassus],17,17,18,18
75,"(-5, 2, 2, 2, 2)",0.9166666666666667,Missa O gente brunette: Credo,Missa O gente brunette: Sanctus,[Tenor],[Contratenor],17,76,18,77
78,"(-5, 2, 2, 2, 2)",0.9166666666666667,Missa O gente brunette: Credo,Missa O gente brunette: Agnus Dei,[Tenor],SecundusSuperius,17,55,18,56
80,"(-5, 2, 2, 2, 2)",0.4166666666666667,Missa O gente brunette: Credo,Missa O gente brunette: Credo,[Bassus],[Bassus],17,91,18,92
83,"(-5, 2, 2, 2, 2)",0.9166666666666667,Missa O gente brunette: Credo,Missa O gente brunette: Sanctus,[Bassus],[Bassus],17,75,18,76
88,"(-5, 2, 2, 2, 2)",1.0,Missa O gente brunette: Credo,Missa O gente brunette: Sanctus,[Bassus],[Bassus],91,75,92,76
92,"(-5, 2, 2, 2, 2)",1.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Sanctus,[Contratenor],[Bassus],76,75,77,76
93,"(-5, 2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Agnus Dei,[Contratenor],SecundusSuperius,76,55,77,56
98,"(-5, 2, 2, 2, 2)",1.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Agnus Dei,[Bassus],SecundusSuperius,75,55,76,56
99,"(-5, 2, 2, 2, 2)",0.25,Missa O gente brunette: Sanctus,Missa O gente brunette: Agnus Dei,[Bassus],Bassus,75,42,76,43
101,"(-5, 2, 3, 2, -4)",0.5,Missa O gente brunette: Kyrie,Missa O gente brunette: Kyrie,[Tenor],[Bassus],10,9,12,10
102,"(-5, 2, 3, 2, -4)",0.5,Missa O gente brunette: Kyrie,Missa O gente brunette: Kyrie,[Tenor],[Bassus],10,12,12,14
104,"(-5, 2, 3, 2, -4)",0.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Kyrie,[Bassus],[Bassus],9,12,10,14
140,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Sanctus,[Contratenor],[Contratenor],63,66,64,67
141,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Sanctus,[Contratenor],[Tenor],63,61,64,62
142,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Sanctus,[Contratenor],[Tenor],63,66,64,67
143,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Sanctus,[Contratenor],[Bassus],63,60,64,61
144,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Agnus Dei,[Contratenor],PrimusSuperius,63,2,64,3
146,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Agnus Dei,[Contratenor],Contratenor,63,2,64,3
147,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Sanctus,[Contratenor],[Tenor],66,61,67,62
148,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Sanctus,[Contratenor],[Tenor],66,66,67,67
149,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Sanctus,[Contratenor],[Bassus],66,60,67,61
150,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Agnus Dei,[Contratenor],PrimusSuperius,66,2,67,3
152,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Agnus Dei,[Contratenor],Contratenor,66,2,67,3
153,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Sanctus,[Tenor],[Tenor],61,66,62,67
154,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Sanctus,[Tenor],[Bassus],61,60,62,61
155,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Agnus Dei,[Tenor],PrimusSuperius,61,2,62,3
157,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Agnus Dei,[Tenor],Contratenor,61,2,62,3
158,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Sanctus,[Tenor],[Bassus],66,60,67,61
159,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Agnus Dei,[Tenor],PrimusSuperius,66,2,67,3
161,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Agnus Dei,[Tenor],Contratenor,66,2,67,3
162,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Agnus Dei,[Bassus],PrimusSuperius,60,2,61,3
164,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Sanctus,Missa O gente brunette: Agnus Dei,[Bassus],Contratenor,60,2,61,3
166,"(-4, -2, 2, 2, 2)",0.0,Missa O gente brunette: Agnus Dei,Missa O gente brunette: Agnus Dei,PrimusSuperius,Contratenor,2,2,3,3
179,"(-4, 1, 2, 2, 2)",0.9166666666666667,Missa O gente brunette: Kyrie,Missa O gente brunette: Credo,[Bassus],[Tenor],6,17,7,18
182,"(-4, 1, 2, 2, 2)",0.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Agnus Dei,[Bassus],SecundusSuperius,6,55,7,56
198,"(-4, 1, 2, 2, 2)",1.0,Missa O gente brunette: Credo,Missa O gente brunette: Credo,[Tenor],[Bassus],17,17,18,18
200,"(-4, 1, 2, 2, 2)",0.9166666666666667,Missa O gente brunette: Credo,Missa O gente brunette: Agnus Dei,[Tenor],SecundusSuperius,17,55,18,56
201,"(-4, 1, 2, 2, 2)",0.4166666666666667,Missa O gente brunette: Credo,Missa O gente brunette: Credo,[Bassus],[Bassus],17,91,18,92
209,"(-4, 2, -2, -2, -2)",0.0,Missa O gente brunette: Gloria,Missa O gente brunette: Credo,[Superius],[Tenor],33,109,34,109
211,"(-4, 2, -2, -2, -2)",1.0,Missa O gente brunette: Gloria,Missa O gente brunette: Agnus Dei,[Superius],PrimusTenor,33,12,34,14
232,"(-4, 2, -2, -2, -2)",1.0,Missa O gente brunette: Credo,Missa O gente brunette: Credo,[Superius],[Tenor],114,31,115,32
236,"(-4, 2, -2, -2, -2)",0.5,Missa O gente brunette: Credo,Missa O gente brunette: Agnus Dei,[Superius],PrimusTenor,114,65,115,67
250,"(-4, 2, -2, -2, -2)",1.0,Missa O gente brunette: Credo,Missa O gente brunette: Agnus Dei,[Tenor],PrimusTenor,109,12,109,14
259,"(-4, 2, 2, -3, 2)",0.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Kyrie,[Superius],[Superius],19,22,20,23
260,"(-4, 2, 2, -3, 2)",0.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Kyrie,[Superius],[Tenor],19,23,20,24
261,"(-4, 2, 2, -3, 2)",0.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Agnus Dei,[Superius],Bassus,19,48,20,49
262,"(-4, 2, 2, -3, 2)",0.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Kyrie,[Superius],[Tenor],22,23,23,24
263,"(-4, 2, 2, -3, 2)",0.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Agnus Dei,[Superius],Bassus,22,48,23,49
264,"(-4, 2, 2, -3, 2)",0.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Agnus Dei,[Tenor],Bassus,23,48,24,49
285,"(-4, 2, 2, -2, -2)",0.75,Missa O gente brunette: Agnus Dei,Missa O gente brunette: Agnus Dei,Contratenor,SecundusTenor,49,48,50,49
307,"(-4, 2, 2, 2, 2)",0.5,Missa O gente brunette: Kyrie,Missa O gente brunette: Sanctus,[Superius],[Bassus],4,81,4,81
309,"(-4, 2, 2, 2, 2)",1.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Agnus Dei,[Superius],PrimusTenor,4,39,4,39
312,"(-4, 2, 2, 2, 2)",0.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Kyrie,[Bassus],[Bassus],3,6,4,7
317,"(-4, 2, 2, 2, 2)",0.9166666666666667,Missa O gente brunette: Kyrie,Missa O gente brunette: Credo,[Bassus],[Tenor],3,17,4,18
323,"(-4, 2, 2, 2, 2)",0.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Sanctus,[Bassus],[Contratenor],3,76,4,77
325,"(-4, 2, 2, 2, 2)",1.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Sanctus,[Bassus],[Bassus],3,75,4,76
327,"(-4, 2, 2, 2, 2)",0.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Agnus Dei,[Bassus],SecundusSuperius,3,55,4,56
328,"(-4, 2, 2, 2, 2)",1.0,Missa O gente brunette: Kyrie,Missa O gente brunette: Agnus Dei,[Bassus],PrimusTenor,3,39,4,39
