,pattern,sum_diffs,match_1_piece_title,match_2_piece_title,match_1_part,match_2_part,match_1_start_measure,match_2_start_measure,match_1_end_measure,match_2_end_measure
4,"(-5, 2, 2, 2, 2, -2)",0.0,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Altus,Tenor,239,182,240,183
52,"(-4, 2, 2, 2, 2, -2)",0.0,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Altus,Tenor,239,182,240,183
78,"(-4, 2, 2, 2, 2, -2)",0.0,Missa Ave Maria: Sanctus,Missa Ave Maria: Sanctus,Altus,Bassus,145,140,146,141
97,"(-4, 2, 2, 2, 2, 2)",0.0,Missa Ave Maria: Sanctus,Missa Ave Maria: Sanctus,Sup[erius],Altus,145,140,146,141
104,"(-4, 4, -2, -2, -2, -2)",0.5,Missa Ave Maria: Credo,Missa Ave Maria: Sanctus,Sup[erius],Sup[erius],263,91,265,92
108,"(-4, 4, -2, -2, -2, -2)",0.0,Missa Ave Maria: Credo,Missa Ave Maria: Agnus Dei,Altus,Altus,259,30,260,32
109,"(-4, 4, -2, -2, -2, -2)",0.0,Missa Ave Maria: Credo,Missa Ave Maria: Agnus Dei,Altus,Bassus,259,21,260,23
112,"(-4, 4, -2, -2, -2, -2)",0.0,Missa Ave Maria: Agnus Dei,Missa Ave Maria: Agnus Dei,Altus,Bassus,30,21,32,23
113,"(-4, 4, -2, -2, -2, 2)",0.0,Missa Ave Maria: Gloria,Missa Ave Maria: Gloria,Sup[erius],Tenor,112,109,113,110
118,"(-4, 4, -2, -2, -2, 2)",0.0,Missa Ave Maria: Gloria,Ave Maria,Sup[erius],Bassus,112,137,113,139
123,"(-4, 4, -2, -2, -2, 2)",0.0,Missa Ave Maria: Gloria,Ave Maria,Tenor,Bassus,109,137,110,139
137,"(-3, -2, -2, -2, -2, -2)",0.08333333333333334,Missa Ave Maria: Kyrie,Missa Ave Maria: Gloria,Altus,Altus,73,118,74,119
141,"(-3, -2, -2, -2, -2, -2)",0.25,Missa Ave Maria: Kyrie,Missa Ave Maria: Credo,Altus,Altus,73,65,74,65
148,"(-3, -2, -2, -2, -2, -2)",0.08333333333333331,Missa Ave Maria: Kyrie,Missa Ave Maria: Credo,Altus,Tenor,73,132,74,133
149,"(-3, -2, -2, -2, -2, -2)",0.75,Missa Ave Maria: Kyrie,Missa Ave Maria: Credo,Altus,Tenor,73,132,74,133
158,"(-3, -2, -2, -2, -2, -2)",0.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Sanctus,Altus,Sup[erius],73,127,74,128
165,"(-3, -2, -2, -2, -2, -2)",0.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Gloria,Altus,Altus,73,118,74,119
180,"(-3, -2, -2, -2, -2, -2)",1.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Credo,Altus,Bassus,73,198,74,200
186,"(-3, -2, -2, -2, -2, -2)",0.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Sanctus,Altus,Sup[erius],73,127,74,128
201,"(-3, -2, -2, -2, -2, -2)",1.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Credo,Bassus,Tenor,31,132,32,133
243,"(-3, -2, -2, -2, -2, -2)",0.33333333333333337,Missa Ave Maria: Gloria,Missa Ave Maria: Credo,Altus,Altus,118,65,119,65
250,"(-3, -2, -2, -2, -2, -2)",0.16666666666666666,Missa Ave Maria: Gloria,Missa Ave Maria: Credo,Altus,Tenor,118,132,119,133
251,"(-3, -2, -2, -2, -2, -2)",0.8333333333333334,Missa Ave Maria: Gloria,Missa Ave Maria: Credo,Altus,Tenor,118,132,119,133
260,"(-3, -2, -2, -2, -2, -2)",0.08333333333333334,Missa Ave Maria: Gloria,Missa Ave Maria: Sanctus,Altus,Sup[erius],118,127,119,128
278,"(-3, -2, -2, -2, -2, -2)",1.0,Missa Ave Maria: Gloria,Missa Ave Maria: Credo,Altus,Bassus,118,198,119,200
284,"(-3, -2, -2, -2, -2, -2)",0.0,Missa Ave Maria: Gloria,Missa Ave Maria: Sanctus,Altus,Sup[erius],118,127,119,128
336,"(-3, -2, -2, -2, -2, -2)",0.16666666666666669,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Altus,Tenor,65,132,65,133
337,"(-3, -2, -2, -2, -2, -2)",0.5,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Altus,Tenor,65,132,65,133
340,"(-3, -2, -2, -2, -2, -2)",1.0,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Altus,Bassus,65,197,65,199
346,"(-3, -2, -2, -2, -2, -2)",0.25,Missa Ave Maria: Credo,Missa Ave Maria: Sanctus,Altus,Sup[erius],65,127,65,128
356,"(-3, -2, -2, -2, -2, -2)",1.0,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Altus,Tenor,65,132,66,133
358,"(-3, -2, -2, -2, -2, -2)",0.6666666666666667,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Altus,Bassus,65,132,66,133
359,"(-3, -2, -2, -2, -2, -2)",0.5,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Altus,Bassus,65,197,66,199
371,"(-3, -2, -2, -2, -2, -2)",1.0,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Altus,Altus,265,268,267,269
372,"(-3, -2, -2, -2, -2, -2)",0.8333333333333333,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Altus,Tenor,265,112,267,114
379,"(-3, -2, -2, -2, -2, -2)",0.0,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Altus,Bassus,265,265,267,267
397,"(-3, -2, -2, -2, -2, -2)",0.0,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Altus,Bassus,265,266,267,267
414,"(-3, -2, -2, -2, -2, -2)",0.0,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Altus,Bassus,266,266,267,267
427,"(-3, -2, -2, -2, -2, -2)",1.0,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Altus,Bassus,268,265,269,267
441,"(-3, -2, -2, -2, -2, -2)",0.8333333333333333,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Tenor,Bassus,112,265,114,267
449,"(-3, -2, -2, -2, -2, -2)",0.6666666666666667,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Tenor,Tenor,132,132,133,133
451,"(-3, -2, -2, -2, -2, -2)",1.0,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Tenor,Bassus,132,132,133,133
458,"(-3, -2, -2, -2, -2, -2)",0.08333333333333331,Missa Ave Maria: Credo,Missa Ave Maria: Sanctus,Tenor,Sup[erius],132,127,133,128
470,"(-3, -2, -2, -2, -2, -2)",0.75,Missa Ave Maria: Credo,Missa Ave Maria: Sanctus,Tenor,Sup[erius],132,127,133,128
485,"(-3, -2, -2, -2, -2, -2)",0.16666666666666669,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Bassus,Bassus,132,197,133,199
509,"(-3, -2, -2, -2, -2, -2)",1.0,Missa Ave Maria: Credo,Missa Ave Maria: Sanctus,Bassus,Sup[erius],198,127,200,128
542,"(-3, -2, -2, -2, -2, 2)",1.0,Missa Ave Maria: Gloria,Missa Ave Maria: Gloria,Sup[erius],Bassus,24,24,25,25
601,"(-3, -2, -2, -2, -2, 2)",0.0,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Tenor,Bassus,55,52,57,54
676,"(-3, -2, -2, -2, 2, -2)",0.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Kyrie,Sup[erius],Altus,17,14,18,16
677,"(-3, -2, -2, -2, 2, -2)",0.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Kyrie,Sup[erius],Tenor,17,12,18,13
697,"(-3, -2, -2, -2, 2, -2)",0.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Kyrie,Altus,Tenor,14,12,16,13
745,"(-3, -2, -2, -2, 2, -2)",0.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Credo,Tenor,Tenor,94,232,96,234
754,"(-3, -2, -2, -2, 2, -2)",0.9166666666666667,Missa Ave Maria: Gloria,Missa Ave Maria: Gloria,Sup[erius],Altus,97,77,99,79
755,"(-3, -2, -2, -2, 2, -2)",1.0,Missa Ave Maria: Gloria,Missa Ave Maria: Gloria,Sup[erius],Tenor,97,102,99,104
759,"(-3, -2, -2, -2, 2, -2)",0.9166666666666667,Missa Ave Maria: Gloria,Missa Ave Maria: Gloria,Sup[erius],Bassus,97,70,99,72
760,"(-3, -2, -2, -2, 2, -2)",1.0,Missa Ave Maria: Gloria,Missa Ave Maria: Credo,Sup[erius],Sup[erius],97,67,99,69
775,"(-3, -2, -2, -2, 2, -2)",0.0,Missa Ave Maria: Gloria,Missa Ave Maria: Gloria,Altus,Bassus,77,70,79,72
785,"(-3, -2, -2, -2, 2, -2)",1.0,Missa Ave Maria: Gloria,Missa Ave Maria: Agnus Dei,Altus,Altus,77,63,79,65
