Pattern Generating Match,Pattern matched,Piece Title,Part,First Note Measure Number,Last Note Measure Number,Note Durations,EMA,EMA url
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",None,[Superius],11,12,"[6.0, 2.0, 2.0, 2.0, 2.0, 4.0]","11-12/1/@1.0-end,@start-8.0",File must be a crim url to have a valid EMA url
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",None,[Superius],29,30,"[4.0, 2.0, 2.0, 3.0, 1.0, 1.0]","29-30/1/@4.0-end,@start-2.0",File must be a crim url to have a valid EMA url
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",None,[Superius],37,38,"[4.0, 2.0, 2.0, 3.0, 1.0, 1.0]","37-38/1/@4.0-end,@start-2.0",File must be a crim url to have a valid EMA url
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",None,[Superius],11,13,"[2.0, 2.0, 2.0, 2.0, 4.0, 2.0]","11-13/1/@4.0-end,@start-end,@start-2.0",File must be a crim url to have a valid EMA url
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",None,[Superius],29,30,"[2.0, 2.0, 3.0, 1.0, 1.0, 1.0]","29-30/1/@6.0-end,@start-2.5",File must be a crim url to have a valid EMA url
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",None,[Superius],37,38,"[2.0, 2.0, 3.0, 1.0, 1.0, 1.0]","37-38/1/@6.0-end,@start-2.5",File must be a crim url to have a valid EMA url
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",None,[Tenor],63,64,"[2.0, 2.0, 2.0, 3.0, 1.0, 4.0]","63-64/3/@4.0-end,@start-1.0",File must be a crim url to have a valid EMA url
"[3, -2, -2, -2, 2]","[3, -2, -2, -2, 2]",None,[Superius],12,13,"[2.0, 2.0, 2.0, 4.0, 2.0, 8.0]","12-13/1/@5.0-end,@start-3.0",File must be a crim url to have a valid EMA url
"[3, -2, -2, -2, 2]","[3, -2, -2, -2, 2]",None,[Tenor],30,31,"[2.0, 3.0, 1.0, 1.0, 1.0, 2.0]","30-31/3/@8.0-end,@start-4.0",File must be a crim url to have a valid EMA url
"[3, -2, -2, -2, 2]","[3, -2, -2, -2, 2]",None,[Tenor],38,39,"[2.0, 3.0, 1.0, 1.0, 1.0, 2.0]","38-39/3/@8.0-end,@start-4.0",File must be a crim url to have a valid EMA url
"[-2, -2, -2, 2, -3]","[-2, -2, -2, 2, -3]",None,[Superius],12,14,"[2.0, 2.0, 4.0, 2.0, 8.0, 4.0]","12-14/1/@6.0-end,@start-end,@start-7.0",File must be a crim url to have a valid EMA url
"[-2, -2, -2, 2, -3]","[-2, -2, -2, 2, -3]",None,[Contratenor],30,31,"[1.0, 1.0, 1.0, 1.0, 4.0, 2.0]","30-31/2/@1.0-end,@start-5.0",File must be a crim url to have a valid EMA url
