Pattern_Generating_Match,Pattern_matched,Piece_Title,Part,First_Note_Measure_Number,Last_Note_Measure_Number,Note_Durations,EMA,EMA_url
"[-2, 2, 2, -2]","[-2, 2, 2, -2]",Missa Confitemini  Kyrie,Superius,1,3,"[2.0, 4.0, 4.0, 3.0, 1.0]","1-3/1/@4.0-end,@start-end,@start-2.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FCRIM_Mass_0001_1.mei/1-3/1/@4.0-end,@start-end,@start-2.5"
"[-2, 2, 2, -2]","[-3, 2, 2, -2]",Missa Confitemini  Kyrie,Superius,13,14,"[4.0, 2.0, 2.0, 1.0, 1.0]","13-14/1/@1.0-end,@start-1.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FCRIM_Mass_0001_1.mei/13-14/1/@1.0-end,@start-1.5"
"[-2, 2, 2, -2]","[-2, 2, 4, -2]",Missa Confitemini  Kyrie,Contratenor,7,7,"[1.0, 1.0, 2.0, 1.0, 1.0]","7-7/2/@2.0-end,@start-4.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FCRIM_Mass_0001_1.mei/7-7/2/@2.0-end,@start-4.5"
"[-2, 2, 2, -2]","[-3, 2, 2, -2]",Missa Confitemini  Kyrie,Contratenor,11,12,"[4.0, 2.0, 2.0, 6.0, 1.0]","11-12/2/@1.0-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FCRIM_Mass_0001_1.mei/11-12/2/@1.0-end,@start-4.0"
"[-2, 2, 2, -2]","[-2, 2, 2, -2]",Missa Confitemini  Kyrie,Contratenor,22,23,"[4.0, 3.0, 1.0, 2.0, 3.0]","22-23/2/@3.0-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FCRIM_Mass_0001_1.mei/22-23/2/@3.0-end,@start-4.0"
"[-2, 2, 2, -2]","[-3, 2, 1, -2]",Missa Confitemini  Kyrie,Contratenor,25,27,"[2.0, 2.0, 4.0, 2.0, 2.0]","25-27/2/@4.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FCRIM_Mass_0001_1.mei/25-27/2/@4.0-end,@start-end,@start-1.0"
"[-2, 2, 2, -2]","[-2, 2, 2, -2]",Missa Confitemini  Kyrie,Tenor,1,3,"[2.0, 4.0, 4.0, 3.0, 1.0]","1-3/3/@4.0-end,@start-end,@start-2.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FCRIM_Mass_0001_1.mei/1-3/3/@4.0-end,@start-end,@start-2.5"
"[-2, 2, 2, -2]","[-2, 2, 2, -2]",Missa Confitemini  Kyrie,Tenor,6,7,"[1.0, 1.0, 2.0, 2.0, 4.0]","6-7/3/@4.0-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FCRIM_Mass_0001_1.mei/6-7/3/@4.0-end,@start-3.0"
"[-2, 2, 2, -2]","[-3, 2, 2, -2]",Missa Confitemini  Kyrie,Tenor,11,13,"[4.0, 2.0, 2.0, 3.0, 1.0]","11-13/3/@4.0-end,@start-end,@start-1.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FCRIM_Mass_0001_1.mei/11-13/3/@4.0-end,@start-end,@start-1.5"
"[-2, 2, 2, -2]","[-3, 2, 2, -2]",Missa Confitemini  Kyrie,Tenor,25,27,"[4.0, 4.0, 2.0, 4.0, 1.0]","25-27/3/@4.0-end,@start-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FCRIM_Mass_0001_1.mei/25-27/3/@4.0-end,@start-end,@start-3.0"
"[-2, 2, 2, -2]","[-2, 2, 1, -2]",Missa Confitemini  Kyrie,Tenor,27,28,"[0.5, 0.5, 2.0, 2.0, 16.0]","27-28/3/@4.5-end,@start-9.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FCRIM_Mass_0001_1.mei/27-28/3/@4.5-end,@start-9.0"
"[-2, 2, 2, -2]","[-2, 2, 2, -3]",Missa Confitemini  Kyrie,Bassus,4,5,"[4.0, 3.0, 1.0, 2.0, 2.0]","4-5/4/@1.0-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FCRIM_Mass_0001_1.mei/4-5/4/@1.0-end,@start-2.0"
"[-2, 2, 2, -2]","[-3, 2, 2, -2]",Missa Confitemini  Kyrie,Bassus,12,13,"[4.0, 2.0, 2.0, 6.0, 1.0]","12-13/4/@1.0-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FCRIM_Mass_0001_1.mei/12-13/4/@1.0-end,@start-4.0"
"[2, 2, -2, 2]","[2, 2, -2, 2]",Missa Confitemini  Kyrie,Superius,2,3,"[4.0, 4.0, 3.0, 1.0, 1.0]","2-3/1/@1.0-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FCRIM_Mass_0001_1.mei/2-3/1/@1.0-end,@start-3.0"
"[2, 2, -2, 2]","[2, 2, -2, 2]",Missa Confitemini  Kyrie,Superius,13,14,"[2.0, 2.0, 1.0, 1.0, 1.0]","13-14/1/@3.0-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FCRIM_Mass_0001_1.mei/13-14/1/@3.0-end,@start-2.0"
"[2, 2, -2, 2]","[2, 2, -3, 2]",Missa Confitemini  Kyrie,Superius,14,15,"[1.0, 1.0, 2.0, 2.0, 4.0]","14-15/1/@2.0-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FCRIM_Mass_0001_1.mei/14-15/1/@2.0-end,@start-1.0"
"[2, 2, -2, 2]","[2, 2, -3, 2]",Missa Confitemini  Kyrie,Contratenor,16,16,"[1.0, 1.0, 1.0, 1.0, 4.0]","16-16/2/@1.0-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FCRIM_Mass_0001_1.mei/16-16/2/@1.0-end,@start-3.0"
"[2, 2, -2, 2]","[2, 2, -2, 4]",Missa Confitemini  Kyrie,Tenor,4,5,"[3.0, 1.0, 2.0, 4.0, 4.0]","4-5/3/@1.0-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FCRIM_Mass_0001_1.mei/4-5/3/@1.0-end,@start-2.0"
