,pattern_generating_match,pattern_matched,piece_title,part,start_measure,start_beat,start_offset,sub_group_id,predicted_type,offset_diffs,entry_number
277,"[-2, -2, -2, -2, -2]","[-2, -2, -2, -2, -2]",Missa Ave Maria: Kyrie,Bassus,31,1.0,240.0,0.0,Fuga,[3.0],1
278,"[-2, -2, -2, -2, -2]","[-2, -2, -2, -2, -2]",Missa Ave Maria: Kyrie,Bassus,31,2.5,243.0,0.0,Fuga,[3.0],2
274,"[-2, -2, -2, -2, -2]","[-2, -2, -2, -2, -2]",Missa Ave Maria: Kyrie,Altus,73,2.0,594.0,1.0,Fuga,"[4.0, 1.0]",1
275,"[-2, -2, -2, -2, -2]","[-2, -2, -2, -2, -2]",Missa Ave Maria: Kyrie,Altus,73,4.0,598.0,1.0,Fuga,"[4.0, 1.0]",2
276,"[-2, -2, -2, -2, -2]","[-2, -2, -2, -2, -2]",Missa Ave Maria: Kyrie,Altus,73,4.5,599.0,1.0,Fuga,"[4.0, 1.0]",3
279,"[-2, -2, -2, -2, -2]","[-2, -2, -2, -2, -2]",Missa Ave Maria: Kyrie,Bassus,83,2.0,674.0,2.0,Fuga,[3.0],1
280,"[-2, -2, -2, -2, -2]","[-2, -2, -2, -2, -2]",Missa Ave Maria: Kyrie,Bassus,83,3.5,677.0,2.0,Fuga,[3.0],2
46,"[-2, -2, -2, 2, -2]","[-2, -2, -2, 2, -2]",Missa Ave Maria: Kyrie,Sup[erius],7,4.0,54.0,3.0,Fuga,"[8.0, 30.0]",1
51,"[-2, -2, -2, 2, -2]","[-2, -2, -2, 2, -2]",Missa Ave Maria: Kyrie,Altus,8,4.0,62.0,3.0,Fuga,"[8.0, 30.0]",2
64,"[-2, -2, -2, 2, -2]","[-2, -2, -2, 2, -2]",Missa Ave Maria: Kyrie,Bassus,12,3.0,92.0,3.0,Fuga,"[8.0, 30.0]",3
52,"[-2, -2, -2, 2, -2]","[-2, -2, -2, 2, -2]",Missa Ave Maria: Kyrie,Altus,15,1.0,112.0,3.0,Fuga,"[8.0, 30.0]",4
47,"[-2, -2, -2, 2, -2]","[-2, -2, -2, 2, -2]",Missa Ave Maria: Kyrie,Sup[erius],17,3.0,132.0,3.0,Fuga,"[8.0, 30.0]",5
