,pattern_generating_match,pattern_matched,piece_title,part,start_measure,start_beat,start_offset,sub_group_id,predicted_type,offset_diffs,entry_number
277,"[-2, -2, -2, -2, -2]","[-2, -2, -2, -2, -2]",Missa Ave Maria: Kyrie,Bassus,31,1,240,0,Fuga,[3.0],1
278,"[-2, -2, -2, -2, -2]","[-2, -2, -2, -2, -2]",Missa Ave Maria: Kyrie,Bassus,31,2.5,243,0,Fuga,[3.0],2
274,"[-2, -2, -2, -2, -2]","[-2, -2, -2, -2, -2]",Missa Ave Maria: Kyrie,Altus,73,2,594,1,Fuga,[5.0],1
276,"[-2, -2, -2, -2, -2]","[-2, -2, -2, -2, -2]",Missa Ave Maria: Kyrie,Altus,73,4.5,599,1,Fuga,[5.0],2
279,"[-2, -2, -2, -2, -2]","[-2, -2, -2, -2, -2]",Missa Ave Maria: Kyrie,Bassus,83,2,674,2,Fuga,[3.0],1
280,"[-2, -2, -2, -2, -2]","[-2, -2, -2, -2, -2]",Missa Ave Maria: Kyrie,Bassus,83,3.5,677,2,Fuga,[3.0],2
46,"[-2, -2, -2, 2, -2]","[-2, -2, -2, 2, -2]",Missa Ave Maria: Kyrie,Sup[erius],7,4,54,3,Fuga,"[8.0, 30.0, 20.0, 20.0, 16.0, 22.0, 16.0]",1
51,"[-2, -2, -2, 2, -2]","[-2, -2, -2, 2, -2]",Missa Ave Maria: Kyrie,Altus,8,4,62,3,Fuga,"[8.0, 30.0, 20.0, 20.0, 16.0, 22.0, 16.0]",2
57,"[-2, -2, -2, 2, -2]","[-2, -2, -2, 2, -2]",Missa Ave Maria: Kyrie,Tenor,12,3,92,3,Fuga,"[8.0, 30.0, 20.0, 20.0, 16.0, 22.0, 16.0]",3
52,"[-2, -2, -2, 2, -2]","[-2, -2, -2, 2, -2]",Missa Ave Maria: Kyrie,Altus,15,1,112,3,Fuga,"[8.0, 30.0, 20.0, 20.0, 16.0, 22.0, 16.0]",4
47,"[-2, -2, -2, 2, -2]","[-2, -2, -2, 2, -2]",Missa Ave Maria: Kyrie,Sup[erius],17,3,132,3,Fuga,"[8.0, 30.0, 20.0, 20.0, 16.0, 22.0, 16.0]",5
66,"[-2, -2, -2, 2, -2]","[-2, -2, -2, 2, -2]",Missa Ave Maria: Kyrie,Bassus,19,3,148,3,Fuga,"[8.0, 30.0, 20.0, 20.0, 16.0, 22.0, 16.0]",6
53,"[-2, -2, -2, 2, -2]","[-2, -2, -2, 2, -2]",Missa Ave Maria: Kyrie,Altus,22,2,170,3,Fuga,"[8.0, 30.0, 20.0, 20.0, 16.0, 22.0, 16.0]",7
58,"[-2, -2, -2, 2, -2]","[-2, -2, -2, 2, -2]",Missa Ave Maria: Kyrie,Tenor,24,2,186,3,Fuga,"[8.0, 30.0, 20.0, 20.0, 16.0, 22.0, 16.0]",8
48,"[-2, -2, -2, 2, -2]","[-2, -2, -2, 2, -2]",Missa Ave Maria: Kyrie,Sup[erius],38,1,304,4,PEN,"[16.0, 16.0, 16.0]",1
54,"[-2, -2, -2, 2, -2]","[-2, -2, -2, 2, -2]",Missa Ave Maria: Kyrie,Altus,40,1,320,4,PEN,"[16.0, 16.0, 16.0]",2
59,"[-2, -2, -2, 2, -2]","[-2, -2, -2, 2, -2]",Missa Ave Maria: Kyrie,Tenor,42,1,336,4,PEN,"[16.0, 16.0, 16.0]",3
67,"[-2, -2, -2, 2, -2]","[-2, -2, -2, 2, -2]",Missa Ave Maria: Kyrie,Bassus,44,1,352,4,PEN,"[16.0, 16.0, 16.0]",4
