,pattern_generating_match,pattern_matched,piece_title,part,start_measure,start_beat,start_offset,sub_group_id,predicted_type,offset_diffs,entry_number
307,"(-2, -2, -2, -2, 2, 2, 2)","[-2, -2, -2, -2, 2, 2, 2]",Veni speciosam,Contratenor,76,1.0,608.0,5.0,Fuga,[52.0],1
310,"(-2, -2, -2, -2, 2, 2, 2)","[-2, -2, -2, -2, 2, 2, 2]",Veni speciosam,SecundusTenor,82,3.0,660.0,5.0,Fuga,[52.0],2
213,"(-2, -2, -2, 2, -2, -2, -2)","[-2, -2, -2, 2, -2, -2, -2]",Veni speciosam,Superius,126,2.0,1010.0,8.0,Fuga,[4.0],1
214,"(-2, -2, -2, 2, -2, -2, -2)","[-2, -2, -2, 2, -2, -2, -2]",Veni speciosam,Superius,126,4.0,1014.0,8.0,Fuga,[4.0],2
351,"(-2, -2, -2, 2, -3, 2, 2)","[-2, -2, -2, 2, -4, 2, 2]",Veni speciosam,Bassus,32,2.0,250.0,10.0,Fuga,[36.0],1
348,"(-2, -2, -2, 2, -3, 2, 2)","[-2, -2, -2, 2, -4, 2, 2]",Veni speciosam,Superius,36,4.0,286.0,10.0,Fuga,[36.0],2
131,"(-2, -2, -2, 2, 2, 2, 2)","[-2, -2, -2, 2, 2, 2, 2]",Veni speciosam,Contratenor,48,2.0,378.0,13.0,Fuga,"[66.0, 8.0]",1
132,"(-2, -2, -2, 2, 2, 2, 2)","[-2, -2, -2, 2, 2, 2, 2]",Veni speciosam,Contratenor,56,3.0,444.0,13.0,Fuga,"[66.0, 8.0]",2
128,"(-2, -2, -2, 2, 2, 2, 2)","[-2, -2, -2, 2, 2, 2, 2]",Veni speciosam,Superius,57,3.0,452.0,13.0,Fuga,"[66.0, 8.0]",3
177,"(-2, -2, -3, 2, 2, 2, 2)","[-2, -2, -2, 2, 2, 2, 2]",Veni speciosam,Contratenor,48,2.0,378.0,15.0,Fuga,"[66.0, 8.0]",1
178,"(-2, -2, -3, 2, 2, 2, 2)","[-2, -2, -2, 2, 2, 2, 2]",Veni speciosam,Contratenor,56,3.0,444.0,15.0,Fuga,"[66.0, 8.0]",2
174,"(-2, -2, -3, 2, 2, 2, 2)","[-2, -2, -2, 2, 2, 2, 2]",Veni speciosam,Superius,57,3.0,452.0,15.0,Fuga,"[66.0, 8.0]",3
175,"(-2, -2, -3, 2, 2, 2, 2)","[-2, -2, -3, 2, 2, 2, 2]",Veni speciosam,Superius,99,2.0,794.0,16.0,Fuga,[16.0],1
182,"(-2, -2, -3, 2, 2, 2, 2)","[-2, -2, -3, 2, 2, 2, 2]",Veni speciosam,SecundusTenor,101,2.0,810.0,16.0,Fuga,[16.0],2
183,"(-2, -2, -3, 2, 2, 2, 2)","[-2, -2, -3, 2, 2, 2, 2]",Veni speciosam,Bassus,109,2.75,875.5,16.0,Fuga,[16.0],3
180,"(-2, -2, -3, 2, 2, 2, 2)","[-2, -2, -3, 2, 2, 2, 2]",Veni speciosam,Contratenor,111,1.0,888.0,16.0,Fuga,[16.0],4
181,"(-2, -2, -3, 2, 2, 2, 2)","[-2, -2, -2, 2, 2, 2, 2]",Veni speciosam,Contratenor,118,4.0,950.0,16.0,Fuga,[16.0],5
356,"(-2, -2, 2, -3, 2, 2, 2)","[-2, -2, 2, -4, 2, 2, 2]",Veni speciosam,Bassus,32,3.0,252.0,18.0,Fuga,[22.0],1
355,"(-2, -2, 2, -3, 2, 2, 2)","[-2, -2, 2, -2, 2, 2, 2]",Veni speciosam,SecundusTenor,35,2.0,274.0,18.0,Fuga,[22.0],2
378,"(-2, -2, 2, 2, -3, 2, -2)","[-2, -2, 2, 2, -3, 2, -2]",Veni speciosam,SecundusTenor,84,4.0,678.0,20.0,Fuga,[1.0],1
376,"(-2, -2, 2, 2, -3, 2, -2)","[-2, -2, 2, 2, -3, 2, -2]",Veni speciosam,PrimusTenor,84,4.5,679.0,20.0,Fuga,[1.0],2
142,"(-2, -2, 2, 2, 2, 2, -2)","[-2, -2, 2, 2, 2, 2, -2]",Veni speciosam,Contratenor,57,1.0,448.0,23.0,Fuga,"[8.0, 47.0]",1
138,"(-2, -2, 2, 2, 2, 2, -2)","[-2, -2, 2, 2, 2, 2, -2]",Veni speciosam,Superius,58,1.0,456.0,23.0,Fuga,"[8.0, 47.0]",2
139,"(-2, -2, 2, 2, 2, 2, -2)","[-2, -2, 2, 2, 2, 2, -2]",Veni speciosam,Superius,63,4.5,503.0,23.0,Fuga,"[8.0, 47.0]",3
277,"(-2, -2, 2, 2, 2, 2, 2)","[-2, -3, 2, 2, 2, 2, 2]",Veni speciosam,Superius,99,4.0,798.0,29.0,Fuga,[16.0],1
281,"(-2, -2, 2, 2, 2, 2, 2)","[-2, -3, 2, 2, 2, 2, 2]",Veni speciosam,SecundusTenor,101,4.0,814.0,29.0,Fuga,[16.0],2
37,"(-2, -3, 2, 2, 2, -3, -2)","[-2, -3, 2, 2, 2, -3, -2]",Veni speciosam,Bassus,18,4.0,142.0,31.0,Fuga,"[16.0, 4.0, 24.0, 4.0, 8.0]",1
34,"(-2, -3, 2, 2, 2, -3, -2)","[-2, -3, 2, 2, 2, -3, -2]",Veni speciosam,Contratenor,20,4.0,158.0,31.0,Fuga,"[16.0, 4.0, 24.0, 4.0, 8.0]",2
33,"(-2, -3, 2, 2, 2, -3, -2)","[-2, -3, 2, 2, 2, -3, -2]",Veni speciosam,Superius,21,2.0,162.0,31.0,Fuga,"[16.0, 4.0, 24.0, 4.0, 8.0]",3
35,"(-2, -3, 2, 2, 2, -3, -2)","[-2, -3, 2, 2, 2, -3, -2]",Veni speciosam,PrimusTenor,24,2.0,186.0,31.0,Fuga,"[16.0, 4.0, 24.0, 4.0, 8.0]",4
38,"(-2, -3, 2, 2, 2, -3, -2)","[-2, -3, 2, 2, 2, -3, -2]",Veni speciosam,Bassus,24,4.0,190.0,31.0,Fuga,"[16.0, 4.0, 24.0, 4.0, 8.0]",5
36,"(-2, -3, 2, 2, 2, -3, -2)","[-2, -3, 2, 2, 2, -3, -2]",Veni speciosam,SecundusTenor,25,4.0,198.0,31.0,Fuga,"[16.0, 4.0, 24.0, 4.0, 8.0]",6
440,"(-2, -3, 2, 2, 2, 2, -2)","[-2, -2, 2, 2, 2, 2, -2]",Veni speciosam,Contratenor,57,1.0,448.0,32.0,Fuga,"[8.0, 47.0]",1
437,"(-2, -3, 2, 2, 2, 2, -2)","[-2, -2, 2, 2, 2, 2, -2]",Veni speciosam,Superius,58,1.0,456.0,32.0,Fuga,"[8.0, 47.0]",2
438,"(-2, -3, 2, 2, 2, 2, -2)","[-2, -2, 2, 2, 2, 2, -2]",Veni speciosam,Superius,63,4.5,503.0,32.0,Fuga,"[8.0, 47.0]",3
439,"(-2, -3, 2, 2, 2, 2, -2)","[-2, -2, 2, 2, 2, 2, -2]",Veni speciosam,Superius,101,4.0,814.0,33.0,Fuga,[62.0],1
444,"(-2, -3, 2, 2, 2, 2, -2)","[-2, -3, 2, 2, 2, 2, -2]",Veni speciosam,Bassus,109,3.0,876.0,33.0,Fuga,[62.0],2
