,pattern_generating_match,pattern_matched,piece_title,part,start_measure,start_beat,start_offset,sub_group_id,predicted_type,offset_diffs,entry_number
18,"(-2, -2, -2, -2, -2)","[-2, -2, -2, -2, -2]",Ave Maria,[Superius],19,1.0,144.0,0.0,Fuga,[14.0],1
19,"(-2, -2, -2, -2, -2)","[-2, -2, -2, -2, -2]",Ave Maria,[Superius],20,4.0,158.0,0.0,Fuga,[14.0],2
177,"(-2, -2, -2, -2, 1)","[-2, -2, -2, -2, 1]",Ave Maria,Altus,95,1.0,756.0,2.0,Fuga,[48.0],1
178,"(-2, -2, -2, -2, 1)","[-2, -2, -2, -2, 1]",Ave Maria,Altus,99,1.0,804.0,2.0,Fuga,[48.0],2
176,"(-2, -2, -2, -2, 1)","[-2, -2, -2, -2, 1]",Ave Maria,[Superius],104,1.0,864.0,3.0,Fuga,[8.0],1
179,"(-2, -2, -2, -2, 1)","[-2, -2, -2, -2, 1]",Ave Maria,Tenor,104,3.0,872.0,3.0,Fuga,[8.0],2
204,"(-2, -2, -2, -2, 2)","[-2, -2, -2, -2, 2]",Ave Maria,Altus,27,3.0,212.0,4.0,Fuga,[7.0],1
209,"(-2, -2, -2, -2, 2)","[-2, -2, -2, -2, 2]",Ave Maria,Tenor,28,2.5,219.0,4.0,Fuga,[7.0],2
210,"(-2, -2, -2, -2, 2)","[-2, -2, -2, -2, 2]",Ave Maria,Bassus,129,3.0,1092.0,5.0,Fuga,"[14.0, 28.0]",1
207,"(-2, -2, -2, -2, 2)","[-2, -2, -2, -2, 2]",Ave Maria,Altus,131,2.0,1106.0,5.0,Fuga,"[14.0, 28.0]",2
208,"(-2, -2, -2, -2, 2)","[-2, -2, -2, -2, 2]",Ave Maria,Altus,135,4.0,1134.0,5.0,Fuga,"[14.0, 28.0]",3
184,"(-2, -2, -2, 1, 3)","[-2, -2, -2, 1, 3]",Ave Maria,[Superius],113,3.0,956.0,6.0,ID,"[28.0, 36.0, 28.0]",1
186,"(-2, -2, -2, 1, 3)","[-2, -2, -2, 1, 3]",Ave Maria,Tenor,116,1.0,984.0,6.0,ID,"[28.0, 36.0, 28.0]",2
185,"(-2, -2, -2, 1, 3)","[-2, -2, -2, 1, 3]",Ave Maria,[Superius],121,3.0,1020.0,6.0,ID,"[28.0, 36.0, 28.0]",3
187,"(-2, -2, -2, 1, 3)","[-2, -2, -2, 1, 3]",Ave Maria,Tenor,124,1.0,1048.0,6.0,ID,"[28.0, 36.0, 28.0]",4
5,"(-2, -2, -2, 2, -2)","[-2, -2, -2, 2, -2]",Ave Maria,[Superius],8,1.0,56.0,7.0,PEN,"[16.0, 16.0]",1
6,"(-2, -2, -2, 2, -2)","[-2, -2, -2, 2, -2]",Ave Maria,Altus,10,1.0,72.0,7.0,PEN,"[16.0, 16.0]",2
7,"(-2, -2, -2, 2, -2)","[-2, -2, -2, 2, -2]",Ave Maria,Tenor,12,1.0,88.0,7.0,PEN,"[16.0, 16.0]",3
113,"(-2, -2, -2, 2, 2)","[-2, -2, -2, 2, 2]",Ave Maria,Altus,27,4.5,215.0,9.0,Fuga,[5.0],1
115,"(-2, -2, -2, 2, 2)","[-2, -2, -2, 2, 2]",Ave Maria,Tenor,28,3.0,220.0,9.0,Fuga,[5.0],2
188,"(-2, -2, 1, 3, -2)","[-2, -2, 1, 3, -2]",Ave Maria,[Superius],113,2.0,962.0,10.0,ID,"[28.0, 36.0, 28.0]",1
190,"(-2, -2, 1, 3, -2)","[-2, -2, 1, 3, -2]",Ave Maria,Tenor,116,4.0,990.0,10.0,ID,"[28.0, 36.0, 28.0]",2
189,"(-2, -2, 1, 3, -2)","[-2, -2, 1, 3, -2]",Ave Maria,[Superius],121,2.0,1026.0,10.0,ID,"[28.0, 36.0, 28.0]",3
191,"(-2, -2, 1, 3, -2)","[-2, -2, 1, 3, -2]",Ave Maria,Tenor,124,4.0,1054.0,10.0,ID,"[28.0, 36.0, 28.0]",4
192,"(-2, 1, 3, -2, -2)","[-2, 1, 3, -2, -2]",Ave Maria,[Superius],113,2.5,963.0,12.0,ID,"[28.0, 36.0, 28.0]",1
194,"(-2, 1, 3, -2, -2)","[-2, 1, 3, -2, -2]",Ave Maria,Tenor,116,4.5,991.0,12.0,ID,"[28.0, 36.0, 28.0]",2
193,"(-2, 1, 3, -2, -2)","[-2, 1, 3, -2, -2]",Ave Maria,[Superius],121,2.5,1027.0,12.0,ID,"[28.0, 36.0, 28.0]",3
195,"(-2, 1, 3, -2, -2)","[-2, 1, 3, -2, -2]",Ave Maria,Tenor,124,4.5,1055.0,12.0,ID,"[28.0, 36.0, 28.0]",4
129,"(-2, 2, 2, -3, -2)","[-2, 2, 2, -3, -2]",Ave Maria,[Superius],55,1.0,432.0,13.0,ID,"[4.0, 36.0, 4.0]",1
130,"(-2, 2, 2, -3, -2)","[-2, 2, 2, -3, -2]",Ave Maria,Altus,55,3.0,436.0,13.0,ID,"[4.0, 36.0, 4.0]",2
131,"(-2, 2, 2, -3, -2)","[-2, 2, 2, -3, -2]",Ave Maria,Tenor,60,1.0,472.0,13.0,ID,"[4.0, 36.0, 4.0]",3
132,"(-2, 2, 2, -3, -2)","[-2, 2, 2, -3, -2]",Ave Maria,Bassus,60,3.0,476.0,13.0,ID,"[4.0, 36.0, 4.0]",4
156,"(-3, 2, -2, -2, -2)","[-3, 2, -2, -2, -2]",Ave Maria,[Superius],66,1.0,520.0,14.0,Fuga,"[16.0, 8.0, 16.0, 22.0, 42.0, 24.0]",1
158,"(-3, 2, -2, -2, -2)","[-3, 2, -2, -2, -2]",Ave Maria,Altus,68,1.0,536.0,14.0,Fuga,"[16.0, 8.0, 16.0, 22.0, 42.0, 24.0]",2
159,"(-3, 2, -2, -2, -2)","[-3, 2, -2, -2, -2]",Ave Maria,Tenor,69,1.0,544.0,14.0,Fuga,"[16.0, 8.0, 16.0, 22.0, 42.0, 24.0]",3
162,"(-3, 2, -2, -2, -2)","[-3, 2, -2, -2, -2]",Ave Maria,Bassus,71,1.0,560.0,14.0,Fuga,"[16.0, 8.0, 16.0, 22.0, 42.0, 24.0]",4
160,"(-3, 2, -2, -2, -2)","[-3, 2, -2, -2, -2]",Ave Maria,Tenor,73,4.0,582.0,14.0,Fuga,"[16.0, 8.0, 16.0, 22.0, 42.0, 24.0]",5
157,"(-3, 2, -2, -2, -2)","[-3, 2, -2, -2, -2]",Ave Maria,[Superius],79,1.0,624.0,14.0,Fuga,"[16.0, 8.0, 16.0, 22.0, 42.0, 24.0]",6
161,"(-3, 2, -2, -2, -2)","[-3, 2, -2, -2, -2]",Ave Maria,Tenor,82,1.0,648.0,14.0,Fuga,"[16.0, 8.0, 16.0, 22.0, 42.0, 24.0]",7
144,"(-3, 2, -3, 2, -2)","[-3, 2, -3, 2, -2]",Ave Maria,[Superius],65,1.0,512.0,15.0,ID,"[16.0, 8.0, 16.0]",1
145,"(-3, 2, -3, 2, -2)","[-3, 2, -3, 2, -2]",Ave Maria,Altus,67,1.0,528.0,15.0,ID,"[16.0, 8.0, 16.0]",2
146,"(-3, 2, -3, 2, -2)","[-3, 2, -3, 2, -2]",Ave Maria,Tenor,68,1.0,536.0,15.0,ID,"[16.0, 8.0, 16.0]",3
147,"(-3, 2, -3, 2, -2)","[-3, 2, -3, 2, -2]",Ave Maria,Bassus,70,1.0,552.0,15.0,ID,"[16.0, 8.0, 16.0]",4
