,pattern_generating_match,pattern_matched,piece_title,part,start_measure,start_beat,end_measure,end_beat,start_offset,end_offset,note_durations,ema,ema_url
0,"(5, -2, 2, 3, -2, -2, -2)","[5, -2, 2, 3, -2, -2, -2]",Veni speciosam,Superius,1,1.0,3,3.5,0.0,21.0,"[4.0, 6.0, 2.0, 2.0, 2.0, 2.0, 3.0, 1.0]","1-3/1/@1.0-end,@start-end,@start-3.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/1-3/1/@1.0-end,@start-end,@start-3.5"
1,"(5, -2, 2, 3, -2, -2, -2)","[5, -2, 2, 3, -2, -2, -2]",Veni speciosam,Superius,10,1.0,12,4.0,72.0,94.0,"[4.0, 6.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0]","10-12/1/@1.0-end,@start-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/10-12/1/@1.0-end,@start-end,@start-4.0"
2,"(5, -2, 2, 3, -2, -2, -2)","[4, -2, 2, 3, -2, -2, -2]",Veni speciosam,Superius,35,2.0,37,3.0,274.0,292.0,"[4.0, 4.0, 2.0, 2.0, 2.0, 3.0, 1.0, 2.0]","35-37/1/@2.0-end,@start-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/35-37/1/@2.0-end,@start-end,@start-3.0"
3,"(5, -2, 2, 3, -2, -2, -2)","[4, -2, 2, 3, -2, -2, -2]",Veni speciosam,Superius,125,1.0,126,3.5,1000.0,1013.0,"[2.0, 4.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0]","125-126/1/@1.0-end,@start-3.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/125-126/1/@1.0-end,@start-3.5"
4,"(5, -2, 2, 3, -2, -2, -2)","[4, -2, 2, 3, -2, -2, -2]",Veni speciosam,Contratenor,2,3.0,5,1.5,12.0,33.0,"[4.0, 6.0, 2.0, 2.0, 2.0, 2.0, 3.0, 1.0]","2-5/2/@3.0-end,@start-end,@start-end,@start-1.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/2-5/2/@3.0-end,@start-end,@start-end,@start-1.5"
5,"(5, -2, 2, 3, -2, -2, -2)","[5, -2, 2, 3, -2, -2, -2]",Veni speciosam,Contratenor,34,4.0,37,1.0,270.0,288.0,"[2.0, 6.0, 2.0, 2.0, 2.0, 3.0, 1.0, 2.0]","34-37/2/@4.0-end,@start-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/34-37/2/@4.0-end,@start-end,@start-end,@start-1.0"
6,"(5, -2, 2, 3, -2, -2, -2)","[5, -2, 2, 3, -2, -2, -2]",Veni speciosam,PrimusTenor,5,1.0,7,3.5,32.0,53.0,"[4.0, 6.0, 2.0, 2.0, 2.0, 2.0, 3.0, 1.0]","5-7/3/@1.0-end,@start-end,@start-3.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/5-7/3/@1.0-end,@start-end,@start-3.5"
7,"(5, -2, 2, 3, -2, -2, -2)","[5, -2, 2, 3, -2, -2, -2]",Veni speciosam,PrimusTenor,29,2.0,31,3.0,226.0,244.0,"[2.0, 6.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","29-31/3/@2.0-end,@start-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/29-31/3/@2.0-end,@start-end,@start-3.0"
8,"(5, -2, 2, 3, -2, -2, -2)","[4, -2, 2, 3, -2, -2, -2]",Veni speciosam,PrimusTenor,37,2.0,39,3.0,290.0,308.0,"[4.0, 4.0, 2.0, 2.0, 2.0, 3.0, 1.0, 2.0]","37-39/3/@2.0-end,@start-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/37-39/3/@2.0-end,@start-end,@start-3.0"
9,"(5, -2, 2, 3, -2, -2, -2)","[4, -2, 2, 3, -2, -2, -2]",Veni speciosam,SecundusTenor,31,3.0,34,3.0,244.0,268.0,"[4.0, 6.0, 2.0, 4.0, 4.0, 3.0, 1.0, 2.0]","31-34/4/@3.0-end,@start-end,@start-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/31-34/4/@3.0-end,@start-end,@start-end,@start-3.0"
10,"(5, -2, 2, 3, -2, -2, -2)","[4, -2, 2, 3, -2, -2, -2]",Veni speciosam,SecundusTenor,131,3.5,134,1.0,1053.0,1072.0,"[1.0, 4.0, 2.0, 2.0, 4.0, 2.0, 4.0, 16.0]","131-134/4/@3.5-end,@start-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/131-134/4/@3.5-end,@start-end,@start-end,@start-1.0"
11,"(5, -2, 2, 3, -2, -2, -2)","[4, -2, 2, 3, -2, -2, -2]",Veni speciosam,Bassus,6,3.0,9,1.0,44.0,64.0,"[4.0, 6.0, 2.0, 2.0, 2.0, 3.0, 1.0, 2.0]","6-9/5/@3.0-end,@start-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/6-9/5/@3.0-end,@start-end,@start-end,@start-1.0"
12,"(5, -2, 2, 3, -2, -2, -2)","[4, -2, 2, 3, -2, -2, -2]",Veni speciosam,Bassus,30,3.0,33,1.0,236.0,256.0,"[4.0, 6.0, 2.0, 2.0, 2.0, 3.0, 1.0, 2.0]","30-33/5/@3.0-end,@start-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/30-33/5/@3.0-end,@start-end,@start-end,@start-1.0"
13,"(-2, 2, 3, -2, -2, -2, -3)","[-2, 2, 3, -2, -2, -2, -3]",Veni speciosam,Superius,1,3.0,3,4.0,4.0,22.0,"[6.0, 2.0, 2.0, 2.0, 2.0, 3.0, 1.0, 2.0]","1-3/1/@3.0-end,@start-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/1-3/1/@3.0-end,@start-end,@start-4.0"
14,"(-2, 2, 3, -2, -2, -2, -3)","[-2, 2, 2, -2, -2, -2, -3]",Veni speciosam,Superius,25,2.0,27,1.5,194.0,209.0,"[4.0, 2.0, 2.0, 4.0, 1.0, 1.0, 1.0, 1.0]","25-27/1/@2.0-end,@start-end,@start-1.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/25-27/1/@2.0-end,@start-end,@start-1.5"
15,"(-2, 2, 3, -2, -2, -2, -3)","[-2, 2, 3, -2, -2, -2, -3]",Veni speciosam,Contratenor,3,1.0,5,2.0,16.0,34.0,"[6.0, 2.0, 2.0, 2.0, 2.0, 3.0, 1.0, 1.0]","3-5/2/@1.0-end,@start-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/3-5/2/@1.0-end,@start-end,@start-2.0"
16,"(-2, 2, 3, -2, -2, -2, -3)","[-2, 2, 3, -2, -2, -2, -3]",Veni speciosam,PrimusTenor,5,3.0,7,4.0,36.0,54.0,"[6.0, 2.0, 2.0, 2.0, 2.0, 3.0, 1.0, 2.0]","5-7/3/@3.0-end,@start-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/5-7/3/@3.0-end,@start-end,@start-4.0"
17,"(-2, 2, 3, -2, -2, -2, -3)","[-2, 2, 3, -2, -2, -2, -2]",Veni speciosam,Bassus,7,1.0,9,2.0,48.0,66.0,"[6.0, 2.0, 2.0, 2.0, 3.0, 1.0, 2.0, 2.0]","7-9/5/@1.0-end,@start-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/7-9/5/@1.0-end,@start-end,@start-2.0"
18,"(-3, 2, 3, -2, -2, -2, -2)","[-3, 2, 3, -2, -2, -2, -2]",Veni speciosam,Superius,3,3.5,5,2.5,21.0,35.0,"[1.0, 2.0, 2.0, 2.0, 2.0, 4.0, 1.0, 1.0]","3-5/1/@3.5-end,@start-end,@start-2.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/3-5/1/@3.5-end,@start-end,@start-2.5"
