,piece_title,pattern_generating_match,predicted_type,part,part,part,part,part,part,start,start,start,start,start,start
entry_number,,,,1,2,3,4,5,6,1,2,3,4,5,6
0,Ave Maria,"(4, 1, 2, 2, -3)",PEN,[Superius],Altus,Tenor,Bassus,-,-,1/1.0,3/1.0,5/1.0,7/1.0,-,-
1,Ave Maria,"(-2, -2, -2, 2, -2)",PEN,[Superius],Altus,Tenor,-,-,-,8/1.0,10/1.0,12/1.0,-,-,-
2,Ave Maria,"(1, 1, 2, 2, -3)",PEN,[Superius],Altus,Tenor,Bassus,-,-,16/3.0,18/3.0,20/3.0,22/3.0,-,-
3,Ave Maria,"(-2, -2, -2, -2, -2)",Fuga,[Superius],[Superius],-,-,-,-,19/1.0,20/4.0,-,-,-,-
4,Ave Maria,"(-2, -2, -2, 2, 2)",Fuga,Altus,Tenor,-,-,-,-,27/4.5,28/3.0,-,-,-,-
5,Ave Maria,"(2, 2, 1, 2, -2)",Fuga,[Superius],Tenor,-,-,-,-,32/1.0,36/1.0,-,-,-,-
6,Ave Maria,"(2, 1, 2, -2, -2)",Fuga,Altus,Bassus,-,-,-,-,32/3.0,36/3.0,-,-,-,-
7,Ave Maria,"(1, 2, -2, 1, -2)",Fuga,[Superius],Tenor,-,-,-,-,33/1.0,37/1.0,-,-,-,-
8,Ave Maria,"(1, 2, -2, -2, -2)",PEN,Altus,Bassus,[Superius],-,-,-,33/1.0,37/1.0,41/1.0,-,-,-
9,Ave Maria,"(2, -2, 1, -2, 2)",Fuga,[Superius],Altus,Tenor,-,-,-,33/3.0,37/1.0,37/3.0,-,-,-
10,Ave Maria,"(-3, 2, 2, 2, -3)",Fuga,[Superius],Tenor,[Superius],-,-,-,44/1.0,45/4.0,46/1.0,-,-,-
11,Ave Maria,"(2, 2, 2, -3, 2)",Fuga,[Superius],Bassus,Tenor,[Superius],Bassus,-,44/3.0,44/4.0,46/2.0,46/3.0,46/4.0,-
12,Ave Maria,"(2, 2, -3, 2, 2)",ID,Tenor,[Superius],Tenor,[Superius],-,-,44/4.0,45/1.0,46/4.0,47/1.0,-,-
13,Ave Maria,"(2, -3, 2, 2, 2)",ID,Tenor,[Superius],Tenor,[Superius],-,-,45/2.0,45/3.0,47/2.0,47/3.0,-,-
14,Ave Maria,"(2, 2, 2, -2, 2)",Fuga,[Superius],Tenor,-,-,-,-,48/3.0,48/4.0,-,-,-,-
15,Ave Maria,"(2, -2, 2, -3, 2)",ID,Bassus,Tenor,Bassus,Tenor,-,-,49/3.0,49/4.0,50/4.0,51/1.0,-,-
16,Ave Maria,"(4, -2, 2, 2, -3)",ID,[Superius],Altus,Tenor,Bassus,-,-,54/3.0,55/1.0,59/3.0,60/1.0,-,-
17,Ave Maria,"(-2, 2, 2, -3, -2)",ID,[Superius],Altus,Tenor,Bassus,-,-,55/1.0,55/3.0,60/1.0,60/3.0,-,-
18,Ave Maria,"(2, 2, -3, -2, -2)",ID,[Superius],Altus,Tenor,Bassus,-,-,55/4.0,56/2.0,60/4.0,61/2.0,-,-
19,Ave Maria,"(2, -3, -2, -2, 1)",ID,[Superius],Altus,Tenor,Bassus,-,-,56/1.0,56/3.0,61/1.0,61/3.0,-,-
20,Ave Maria,"(2, -3, 2, -3, 2)",Fuga,[Superius],Altus,Tenor,Bassus,Bassus,-,64/3.0,66/3.0,67/3.0,69/3.0,73/3.0,-
21,Ave Maria,"(-3, 2, -3, 2, -2)",ID,[Superius],Altus,Tenor,Bassus,-,-,65/1.0,67/1.0,68/1.0,70/1.0,-,-
22,Ave Maria,"(2, -3, 2, -2, -2)",ID,[Superius],Altus,Tenor,Bassus,-,-,65/3.0,67/3.0,68/3.0,70/3.0,-,-
23,Ave Maria,"(-3, 2, -2, -2, -2)",Fuga,[Superius],Altus,Tenor,Bassus,[Superius],Tenor,66/1.0,68/1.0,69/1.0,71/1.0,79/1.0,82/1.0
24,Ave Maria,"(2, -3, 2, -2, -2)",Fuga,[Superius],Tenor,-,-,-,-,78/4.0,81/4.0,-,-,-,-
25,Ave Maria,"(1, 2, -2, 1, -2)",Fuga,Altus,Bassus,-,-,-,-,79/1.0,82/1.0,-,-,-,-
26,Ave Maria,"(2, -2, 1, -2, 2)",Fuga,Altus,Bassus,-,-,-,-,79/3.0,82/3.0,-,-,-,-
