,piece_title,pattern_matched,predicted_type,sub_group_id,part,part,part,part,part,start,start,start,start,start
entry_number,,,,,1,2,3,4,5,1,2,3,4,5
0,None,"(2, -2, -2, -2, 3)",Fuga,242.0,T,A,-,-,-,7/4.0,13/1.0,-,-,-
1,None,"(-2, -2, -2, 3, 1)",Fuga,63.0,T,A,-,-,-,8/1.0,13/2.0,-,-,-
2,None,"(1, 1, -2, -2, -2)",Fuga,194.0,S,B,T,S,-,10/3.0,12/1.0,15/1.0,15/2.0,-
3,None,"(1, -2, -2, -2, 2)",Fuga,161.0,S,S,-,-,-,11/1.0,15/3.0,-,-,-
4,None,"(1, -2, -2, -2, -2)",Fuga,155.0,B,T,-,-,-,12/3.0,15/3.0,-,-,-
5,None,"(-2, -2, -2, -2, 4)",Fuga,32.0,B,T,-,-,-,12/4.0,15/4.0,-,-,-
6,None,"(-2, -2, -2, 4, -3)",Fuga,64.0,B,T,-,-,-,13/1.0,16/1.0,-,-,-
7,None,"(-2, -2, 4, -3, -2)",Fuga,89.0,B,T,-,-,-,13/3.0,16/3.0,-,-,-
8,None,"(-2, -2, 2, 1, -2)",Fuga,76.0,S,S,-,-,-,13/4.0,16/1.0,-,-,-
9,None,"(-2, 2, 1, -2, 1)",Fuga,117.0,S,A,-,-,-,14/1.0,14/3.0,-,-,-
10,None,"(2, 1, -2, 1, 1)",Fuga,269.0,S,A,-,-,-,14/2.0,14/4.0,-,-,-
11,None,"(1, 1, 1, -2, 1)",Fuga,201.0,A,A,-,-,-,18/3.0,23/1.0,-,-,-
12,None,"(1, 1, -2, 1, 2)",Fuga,196.0,A,A,B,S,A,19/3.0,23/2.0,24/4.0,26/2.0,26/4.0
13,None,"(1, -2, 1, 2, 3)",Fuga,179.0,A,T,-,-,-,23/3.5,28/1.5,-,-,-
14,None,"(1, 2, 3, -2, -2)",Fuga,215.0,A,T,-,-,-,24/1.0,28/3.0,-,-,-
15,None,"(-2, 4, -2, -2, -2)",Fuga,146.0,B,S,-,-,-,27/1.0,31/3.0,-,-,-
16,None,"(3, -4, 2, 2, 2)",Fuga,334.0,T,B,-,-,-,31/1.0,32/3.0,-,-,-
17,None,"(-4, 2, 2, 2, 2)",Fuga,1.0,T,B,-,-,-,31/2.0,32/4.0,-,-,-
18,None,"(1, -2, -2, -2, 2)",Fuga,162.0,B,T,-,-,-,33/3.0,35/4.0,-,-,-
19,None,"(3, 2, 2, -3, 2)",Fuga,345.0,B,T,-,-,-,37/2.0,39/4.0,-,-,-
20,None,"(2, 2, -3, 2, 2)",Fuga,283.0,B,T,-,-,-,37/3.0,40/1.0,-,-,-
21,None,"(2, 2, 1, 2, -3)",Fuga,305.0,A,B,-,-,-,38/3.0,43/1.0,-,-,-
22,None,"(2, -3, 3, -2, -2)",Fuga,230.0,A,B,-,-,-,39/2.0,43/4.0,-,-,-
23,None,"(2, -2, 1, -2, 1)",Fuga,247.0,A,S,-,-,-,40/4.5,41/2.0,-,-,-
24,None,"(-2, 1, -2, 1, -2)",Fuga,95.0,A,S,-,-,-,41/1.0,41/3.0,-,-,-
25,None,"(1, -2, 1, -2, 2)",Fuga,172.0,A,S,-,-,-,41/1.5,41/3.5,-,-,-
26,None,"(-2, 1, -2, 2, 2)",Fuga,100.0,A,S,-,-,-,41/2.0,41/4.0,-,-,-
27,None,"(1, -2, 2, 2, -2)",Fuga,186.0,A,S,-,-,-,41/3.5,42/1.5,-,-,-
28,None,"(3, -2, -2, -2, 2)",Fuga,336.0,A,S,-,-,-,42/3.0,44/3.0,-,-,-
29,None,"(-3, 3, -2, -2, -2)",Fuga,14.0,B,S,-,-,-,44/1.0,44/2.0,-,-,-
30,None,"(-2, -2, -2, 2, 2)",Fuga,62.0,A,A,-,-,-,44/1.0,45/4.0,-,-,-
31,None,"(-2, -2, 2, 2, 2)",Fuga,86.0,A,A,-,-,-,44/1.5,46/2.0,-,-,-
32,None,"(-2, 2, 2, 2, 2)",PEN,140.0,A,A,S,-,-,44/2.0,46/3.0,48/4.0,-,-
33,None,"(-2, -2, -2, -3, 2)",Fuga,26.0,T,B,-,-,-,46/2.0,50/2.0,-,-,-
34,None,"(2, 2, 2, 2, 2)",Fuga,328.0,T,T,T,-,-,47/4.0,48/1.0,48/1.5,-,-
35,None,"(-2, -2, 1, -2, 2)",Fuga,71.0,S,S,-,-,-,47/4.0,53/4.5,-,-,-
36,None,"(4, 1, -2, -2, -2)",Fuga,357.0,T,A,-,-,-,48/4.5,52/1.0,-,-,-
37,None,"(-2, -2, -2, -2, 4)",Fuga,33.0,S,T,-,-,-,51/4.0,52/4.0,-,-,-
38,None,"(2, 2, 1, -2, -2)",Fuga,304.0,T,S,A,-,-,52/1.0,56/3.0,57/1.0,-,-
39,None,"(-2, -2, -2, 4, -2)",Fuga,67.0,S,T,-,-,-,52/2.0,53/1.0,-,-,-
40,None,"(-2, -2, 4, -2, -2)",Fuga,91.0,S,T,-,-,-,52/4.0,53/2.5,-,-,-
41,None,"(2, 1, -2, -2, 1)",Fuga,267.0,S,A,-,-,-,57/1.0,57/2.0,-,-,-
42,None,"(2, 2, -2, -2, -2)",Fuga,290.0,T,A,B,T,-,59/2.0,62/3.0,63/3.0,64/3.0,-
43,None,"(2, -2, -2, -2, -2)",Fuga,235.0,T,A,-,-,-,59/4.0,62/4.0,-,-,-
44,None,"(-2, -2, -2, -2, -2)",Fuga,27.0,T,A,A,A,B,60/1.0,63/1.0,63/4.0,63/4.5,68/4.0
45,None,"(3, 2, 2, -3, 3)",Fuga,347.0,A,B,T,S,-,61/2.0,62/2.0,63/2.0,65/2.0,-
46,None,"(2, 2, -3, 3, 2)",Fuga,286.0,A,B,T,S,-,61/3.0,62/3.0,63/3.0,65/3.0,-
47,None,"(2, -3, 3, 2, 2)",Fuga,231.0,A,B,T,S,-,61/4.0,62/4.0,63/4.0,65/4.0,-
48,None,"(-3, 3, 2, 2, -2)",PEN,15.0,A,B,T,-,-,62/1.0,63/1.0,64/1.0,-,-
49,None,"(3, 2, 2, -2, -2)",PEN,348.0,A,B,T,-,-,62/2.0,63/2.0,64/2.0,-,-
50,None,"(3, 1, -2, 2, 2)",Fuga,342.0,T,A,-,-,-,76/1.0,76/3.0,-,-,-
51,None,"(1, -2, 2, 2, 2)",Fuga,190.0,T,A,A,S,-,76/3.0,77/1.0,79/3.0,82/1.0,-
52,None,"(-2, 2, 2, 2, -2)",ID,136.0,T,A,S,A,-,77/1.0,77/3.0,79/2.0,79/4.0,-
53,None,"(1, -2, -2, 2, -2)",Fuga,169.0,T,A,-,-,-,78/3.5,83/4.0,-,-,-
54,None,"(2, 1, -2, 2, 2)",Fuga,272.0,A,S,-,-,-,79/2.0,81/4.0,-,-,-
55,None,"(1, -3, 2, -3, 2)",Fuga,153.0,B,T,-,-,-,86/3.0,87/3.0,-,-,-
56,None,"(-3, 2, -3, 2, -3)",PEN,6.0,A,B,-,-,-,87/2.0,87/4.0,-,-,-
57,None,"(2, -3, 2, -3, 2)",Fuga,223.0,A,B,-,-,-,87/3.0,88/2.0,-,-,-
58,None,"(2, -3, 2, -2, -2)",Fuga,224.0,T,S,T,-,-,88/1.0,88/3.0,93/2.0,-,-
59,None,"(-3, 2, -2, -2, -2)",Fuga,7.0,S,T,-,-,-,88/4.0,93/3.0,-,-,-
60,None,"(1, 1, -2, 2, 2)",ID,198.0,B,T,A,S,-,91/2.0,91/4.0,94/2.0,94/4.0,-
61,None,"(1, -2, 2, 2, 2)",ID,191.0,B,T,A,S,-,91/3.0,92/1.0,94/3.0,95/1.0,-
62,None,"(-2, 2, 2, 2, -3)",ID,132.0,B,T,A,S,-,92/1.0,92/3.0,95/1.0,95/3.0,-
63,None,"(2, 2, 2, -3, 2)",Fuga,310.0,B,T,A,-,-,92/2.0,92/4.0,95/2.0,-,-
64,None,"(2, 2, -3, 2, 2)",Fuga,284.0,B,A,-,-,-,92/3.0,95/3.0,-,-,-
65,None,"(2, 2, -3, 2, -2)",Fuga,282.0,T,S,-,-,-,93/1.0,98/2.0,-,-,-
66,None,"(2, 2, -2, -2, -2)",Fuga,291.0,B,A,-,-,-,93/3.0,96/2.0,-,-,-
67,None,"(-2, -2, -2, -2, 2)",Fuga,31.0,S,T,-,-,-,96/4.0,99/3.0,-,-,-
68,None,"(-2, -2, -2, 2, -2)",Fuga,50.0,S,T,-,-,-,97/1.5,100/1.0,-,-,-
69,None,"(3, 2, 2, -2, 2)",Fuga,349.0,S,T,-,-,-,102/2.0,108/2.0,-,-,-
70,None,"(-2, -3, 2, 1, -2)",Fuga,18.0,S,B,-,-,-,106/2.0,108/4.0,-,-,-
71,None,"(2, -4, 2, -3, 2)",Fuga,218.0,T,B,-,-,-,123/1.0,128/3.0,-,-,-
72,None,"(-3, 2, -3, 2, -2)",PEN,6.0,-,-,S,-,-,-,-,88/2.0,-,-
