Pattern Generating Match,Classification Type,EMA,EMA url,Soggetti 1 Part,Soggetti 1 Measure,Soggetti 2 Part,Soggetti 2 Measure,Soggetti 3 Part,Soggetti 3 Measure,Soggetti 4 Part,Soggetti 4 Measure
"[2, 2, -3, -2]",periodic entry,"4-5,4-5,53-54,54-55/1,1,4,4,3,3,1,1/@5.0-end,@start-1.0,@7.0-end,@start-3.0,@4.5-end,@start-4.0,@2.5-end,@start-1.5",File must be a crim url (not a file path) to have a valid EMA url,[Superius],4,[Bassus],4,[Tenor],53,[Superius],54
"[-2, -2, 4, -2]",imitative duo,"28-29,31-32,36-37,39-40/1,1,1,1,1,1,1,1/@2.0-end,@start-6.0,@4.5-end,@start-8.0,@2.0-end,@start-6.0,@4.5-end,@start-2.0",File must be a crim url (not a file path) to have a valid EMA url,[Superius],28,[Superius],31,[Superius],36,[Superius],39
"[1, 1, 1, 1]",fuga,"11-13,17-19,18-19,19-20/2,2,2,1,1,1,4,4,3,3/@3.0-end,@start-end,@start-1.0,@5.0-end,@start-end,@start-4.0,@7.0-end,@start-4.0,@4.0-end,@start-8.0",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],11,[Superius],17,[Bassus],18,[Tenor],19
"[1, 2, 2, 1]",fuga,"18-19,19-20,28-29,30-31/4,4,3,3,4,4,4,4/@7.0-end,@start-4.0,@4.0-end,@start-8.0,@8.0-end,@start-4.0,@2.0-end,@start-6.0",File must be a crim url (not a file path) to have a valid EMA url,[Bassus],18,[Tenor],19,[Bassus],28,[Bassus],30
"[1, 1, 2, 1]",imitative duo,"28-29,30-31,36-37,38-39/4,4,4,4,4,4,4,4/@8.0-end,@start-4.0,@2.0-end,@start-6.0,@8.0-end,@start-4.0,@2.0-end,@start-6.0",File must be a crim url (not a file path) to have a valid EMA url,[Bassus],28,[Bassus],30,[Bassus],36,[Bassus],38
"[1, 1, 2, 1]",fuga,"30-31,36-37,38-39/4,4,4,4,4,4/@2.0-end,@start-6.0,@8.0-end,@start-4.0,@2.0-end,@start-6.0",File must be a crim url (not a file path) to have a valid EMA url,[Bassus],30,[Bassus],36,[Bassus],38
"[2, 2, 1, -3]",fuga,"5-6,7-8,12-13,13-15/2,2,1,1,2,2,3,3,3/@1.0-end,@start-5.0,@1.0-end,@start-5.0,@5.0-end,@start-3.0,@3.0-end,@start-end,@start-3.0",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],5,[Superius],7,[Contratenor],12,[Tenor],13
"[1, 1, 2, -2]",fuga,"6-7,6-8,12-13,13-15/3,3,2,2,2,2,2,3,3,3/@7.0-end,@start-3.5,@8.0-end,@start-end,@start-5.5,@5.0-end,@start-3.0,@3.0-end,@start-end,@start-3.0",File must be a crim url (not a file path) to have a valid EMA url,[Tenor],6,[Contratenor],6,[Contratenor],12,[Tenor],13
"[1, 1, 1, -3]",fuga,"12-13,13-15,27-28,35-36/2,2,3,3,3,2,2,2,2/@5.0-end,@start-3.0,@3.0-end,@start-end,@start-3.0,@4.0-end,@start-8.5,@4.0-end,@start-8.5",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],12,[Tenor],13,[Contratenor],27,[Contratenor],35
"[-2, 2, 3, -2]",imitative duo,"29-30,29-30,37-38,37-38/1,1,3,3,1,1,3,3/@4.0-end,@start-1.5,@5.0-end,@start-2.5,@4.0-end,@start-1.5,@5.0-end,@start-2.5",File must be a crim url (not a file path) to have a valid EMA url,[Superius],29,[Tenor],29,[Superius],37,[Tenor],37
"[2, 3, -2, -2]",periodic entry,"29-30,30-31,37-38,38-39/1,1,3,3,1,1,3,3/@6.0-end,@start-2.0,@7.0-end,@start-3.0,@6.0-end,@start-2.0,@7.0-end,@start-3.0",File must be a crim url (not a file path) to have a valid EMA url,[Superius],29,[Tenor],30,[Superius],37,[Tenor],38
"[2, 3, -2, -2]",fuga,"37-38,38-39,53-54,54-55/1,1,3,3,3,3,1,1/@6.0-end,@start-2.0,@7.0-end,@start-3.0,@4.5-end,@start-4.0,@2.5-end,@start-1.5",File must be a crim url (not a file path) to have a valid EMA url,[Superius],37,[Tenor],38,[Tenor],53,[Superius],54
"[3, -2, -2, -2]",periodic entry,"30-30,30-31,38-38,38-39/1,3,3,1,3,3/@7.0-end,@start-2.5,@8.0-end,@start-3.5,@7.0-end,@start-2.5,@8.0-end,@start-3.5",File must be a crim url (not a file path) to have a valid EMA url,[Superius],30,[Tenor],30,[Superius],38,[Tenor],38
"[3, -2, -2, -2]",fuga,"38-38,38-39,57-58,63-64/1,3,3,3,3,3,3/@7.0-end,@start-2.5,@8.0-end,@start-3.5,@3.0-end,@start-4.5,@1.0-end,@start-1.0",File must be a crim url (not a file path) to have a valid EMA url,[Superius],38,[Tenor],38,[Tenor],57,[Tenor],63
"[-2, -2, -2, 2]",fuga,"4-5,7-8,15-15,23-24/3,3,3,3,2,2,2/@8.0-end,@start-3.0,@3.0-end,@start-5.0,@3.0-end,@start-6.0,@3.0-end,@start-7.0",File must be a crim url (not a file path) to have a valid EMA url,[Tenor],4,[Tenor],7,[Contratenor],15,[Contratenor],23
"[-2, -2, -2, 2]",fuga,"15-15,23-24,29-30/2,2,2,3,3/@3.0-end,@start-6.0,@3.0-end,@start-7.0,@3.0-end,@start-8.0",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],15,[Contratenor],23,[Tenor],29
"[-2, -2, -2, 1]",fuga,"23-24,29-30,30-31,30-31/2,2,3,3,2,2,3,3/@3.0-end,@start-7.0,@3.0-end,@start-8.0,@1.0-end,@start-3.0,@1.0-end,@start-4.0",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],23,[Tenor],29,[Contratenor],30,[Tenor],30
"[-2, -2, -2, 2]",periodic entry,"30-31,30-31,38-39,38-39/2,2,3,3,2,2,3,3/@1.0-end,@start-3.0,@1.0-end,@start-4.0,@1.0-end,@start-3.0,@1.0-end,@start-4.0",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],30,[Tenor],30,[Contratenor],38,[Tenor],38
"[2, 1, -2, 1]",fuga,"40-41,40-41,51-52,52-53/2,2,3,3,2,2,3,3/@4/3-end,@start-4.0,@4/3-end,@start-4.0,@4.0-end,@start-4.0,@1.0-end,@start-1.0",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],40,[Tenor],40,[Contratenor],51,[Tenor],52
"[2, 2, 2, 1]",fuga,"27-28,28-29,30-31/1,1,4,4,4,4/@6.0-end,@start-2.0,@8.0-end,@start-4.0,@2.0-end,@start-6.0",File must be a crim url (not a file path) to have a valid EMA url,[Superius],27,[Bassus],28,[Bassus],30
"[1, 1, 2, 1]",fuga,"28-29,30-31,35-36/4,4,4,4,1,1/@8.0-end,@start-4.0,@2.0-end,@start-6.0,@6.0-end,@start-2.0",File must be a crim url (not a file path) to have a valid EMA url,[Bassus],28,[Bassus],30,[Superius],35
"[1, 1, 2, 1]",fuga,"30-31,35-36,36-37/4,4,1,1,4,4/@2.0-end,@start-6.0,@6.0-end,@start-2.0,@8.0-end,@start-4.0",File must be a crim url (not a file path) to have a valid EMA url,[Bassus],30,[Superius],35,[Bassus],36
"[2, 2, 2, 1]",fuga,"35-36,36-37,38-39/1,1,4,4,4,4/@6.0-end,@start-2.0,@8.0-end,@start-4.0,@2.0-end,@start-6.0",File must be a crim url (not a file path) to have a valid EMA url,[Superius],35,[Bassus],36,[Bassus],38
"[1, 1, 2, -2]",fuga,"6-7,6-7,6-8/3,3,4,4,2,2,2/@7.0-end,@start-3.5,@7.0-end,@start-3.5,@8.0-end,@start-end,@start-5.5",File must be a crim url (not a file path) to have a valid EMA url,[Tenor],6,[Bassus],6,[Contratenor],6
"[1, 1, 1, 2]",fuga,"9-11,11-13,27-28,28-29/3,3,3,2,2,2,2,2,4,4/@3.0-end,@start-end,@start-1.0,@3.0-end,@start-end,@start-1.0,@3.0-end,@start-7.0,@8.0-end,@start-4.0",File must be a crim url (not a file path) to have a valid EMA url,[Tenor],9,[Contratenor],11,[Contratenor],27,[Bassus],28
"[1, 1, 1, 2]",fuga,"27-28,28-29,30-31/2,2,4,4,4,4/@3.0-end,@start-7.0,@8.0-end,@start-4.0,@2.0-end,@start-6.0",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],27,[Bassus],28,[Bassus],30
"[1, 1, 2, 1]",fuga,"28-29,30-31,35-36/4,4,4,4,2,2/@8.0-end,@start-4.0,@2.0-end,@start-6.0,@3.0-end,@start-7.0",File must be a crim url (not a file path) to have a valid EMA url,[Bassus],28,[Bassus],30,[Contratenor],35
"[1, 1, 2, 1]",fuga,"30-31,35-36,36-37/4,4,2,2,4,4/@2.0-end,@start-6.0,@3.0-end,@start-7.0,@8.0-end,@start-4.0",File must be a crim url (not a file path) to have a valid EMA url,[Bassus],30,[Contratenor],35,[Bassus],36
"[2, 2, 2, 2]",periodic entry,"25-25,25-26,33-33,33-34/1,1,1,1,1,1/@4.0-end,@start-6.5,@5.0-end,@start-7.0,@4.0-end,@start-6.5,@5.0-end,@start-7.0",File must be a crim url (not a file path) to have a valid EMA url,[Superius],25,[Superius],25,[Superius],33,[Superius],33
"[2, 2, 1, -2]",fuga,"51-52,51-52,53-54/2,2,3,3,3,3/@3.0-end,@start-3.0,@4.0-end,@start-4.0,@4.0-end,@start-3.0",File must be a crim url (not a file path) to have a valid EMA url,[Contratenor],51,[Tenor],51,[Tenor],53
"[1, 2, 2, 1]",fuga,"18-19,18-19,25-25,25-26/4,4,1,1,1,1,1/@7.0-end,@start-4.0,@1.0-end,@start-5.0,@4.0-end,@start-6.5,@5.0-end,@start-7.0",File must be a crim url (not a file path) to have a valid EMA url,[Bassus],18,[Superius],18,[Superius],25,[Superius],25
"[2, 2, 2, 2]",periodic entry,"25-25,25-26,33-33,33-34/1,1,1,1,1,1/@4.0-end,@start-6.5,@5.0-end,@start-7.0,@4.0-end,@start-6.5,@5.0-end,@start-7.0",File must be a crim url (not a file path) to have a valid EMA url,[Superius],25,[Superius],25,[Superius],33,[Superius],33
