,piece_title,group_number,pattern_generating_match,pattern_matched,part,start_measure,start_beat,start_offset,entry_number,offset_diffs,predicted_type
144,Ave Maria,0,"(-3, 2, -3, 2, -2)","(-3, 2, -3, 2, -2)",[Superius],65,1.0,512.0,1,"[16.0, 8.0, 16.0]",ID
145,Ave Maria,0,"(-3, 2, -3, 2, -2)","(-3, 2, -3, 2, -2)",Altus,67,1.0,528.0,2,"[16.0, 8.0, 16.0]",ID
146,Ave Maria,0,"(-3, 2, -3, 2, -2)","(-3, 2, -3, 2, -2)",Tenor,68,1.0,536.0,3,"[16.0, 8.0, 16.0]",ID
147,Ave Maria,0,"(-3, 2, -3, 2, -2)","(-3, 2, -3, 2, -2)",Bassus,70,1.0,552.0,4,"[16.0, 8.0, 16.0]",ID
156,Ave Maria,1,"(-3, 2, -2, -2, -2)","(-3, 2, -2, -2, -2)",[Superius],66,1.0,520.0,1,"[16.0, 8.0, 16.0, 22.0, 42.0, 24.0, 522.0]",Fuga
158,Ave Maria,1,"(-3, 2, -2, -2, -2)","(-3, 2, -2, -2, -2)",Altus,68,1.0,536.0,2,"[16.0, 8.0, 16.0, 22.0, 42.0, 24.0, 522.0]",Fuga
159,Ave Maria,1,"(-3, 2, -2, -2, -2)","(-3, 2, -2, -2, -2)",Tenor,69,1.0,544.0,3,"[16.0, 8.0, 16.0, 22.0, 42.0, 24.0, 522.0]",Fuga
162,Ave Maria,1,"(-3, 2, -2, -2, -2)","(-3, 2, -2, -2, -2)",Bassus,71,1.0,560.0,4,"[16.0, 8.0, 16.0, 22.0, 42.0, 24.0, 522.0]",Fuga
160,Ave Maria,1,"(-3, 2, -2, -2, -2)","(-3, 2, -2, -2, -2)",Tenor,73,4.0,582.0,5,"[16.0, 8.0, 16.0, 22.0, 42.0, 24.0, 522.0]",Fuga
157,Ave Maria,1,"(-3, 2, -2, -2, -2)","(-3, 2, -2, -2, -2)",[Superius],79,1.0,624.0,6,"[16.0, 8.0, 16.0, 22.0, 42.0, 24.0, 522.0]",Fuga
161,Ave Maria,1,"(-3, 2, -2, -2, -2)","(-3, 2, -2, -2, -2)",Tenor,82,1.0,648.0,7,"[16.0, 8.0, 16.0, 22.0, 42.0, 24.0, 522.0]",Fuga
163,Ave Maria,1,"(-3, 2, -2, -2, -2)","(-3, 2, -2, -2, -2)",Bassus,139,2.0,1170.0,8,"[16.0, 8.0, 16.0, 22.0, 42.0, 24.0, 522.0]",Fuga
75,Ave Maria,2,"(-3, 2, 2, 2, -3)","(-3, 2, 2, 2, -3)",[Superius],44,1.0,344.0,1,"[0.0, 0.0, 14.0, 2.0, 0.0]",Fuga
77,Ave Maria,2,"(-3, 2, 2, 2, -3)","(-3, 2, 2, 2, -3)",Tenor,44,1.0,344.0,2,"[0.0, 0.0, 14.0, 2.0, 0.0]",Fuga
79,Ave Maria,2,"(-3, 2, 2, 2, -3)","(-3, 2, 2, 2, -3)",Bassus,44,1.0,344.0,3,"[0.0, 0.0, 14.0, 2.0, 0.0]",Fuga
78,Ave Maria,2,"(-3, 2, 2, 2, -3)","(-3, 2, 2, 2, -3)",Tenor,45,4.0,358.0,4,"[0.0, 0.0, 14.0, 2.0, 0.0]",Fuga
76,Ave Maria,2,"(-3, 2, 2, 2, -3)","(-3, 2, 2, 2, -3)",[Superius],46,1.0,360.0,5,"[0.0, 0.0, 14.0, 2.0, 0.0]",Fuga
80,Ave Maria,2,"(-3, 2, 2, 2, -3)","(-3, 2, 2, 2, -3)",Bassus,46,1.0,360.0,6,"[0.0, 0.0, 14.0, 2.0, 0.0]",Fuga
73,Ave Maria,3,"(-2, -2, -2, -2, -3)","(-2, -2, -2, -2, -3)",Tenor,42,1.0,328.0,1,"[0.0, 258.0, 302.0]",Fuga
71,Ave Maria,3,"(-2, -2, -2, -2, -3)","(-2, -2, -2, -2, -3)",[Superius],42,1.0,328.0,2,"[0.0, 258.0, 302.0]",Fuga
74,Ave Maria,3,"(-2, -2, -2, -2, -3)","(-2, -2, -2, -2, -3)",Tenor,74,2.0,586.0,3,"[0.0, 258.0, 302.0]",Fuga
72,Ave Maria,3,"(-2, -2, -2, -2, -3)","(-2, -2, -2, -2, -3)",Altus,106,1.0,888.0,4,"[0.0, 258.0, 302.0]",Fuga
18,Ave Maria,4,"(-2, -2, -2, -2, -2)","(-2, -2, -2, -2, -2)",[Superius],19,1.0,144.0,1,"[14.0, 58.0, 456.0]",Fuga
19,Ave Maria,4,"(-2, -2, -2, -2, -2)","(-2, -2, -2, -2, -2)",[Superius],20,4.0,158.0,2,"[14.0, 58.0, 456.0]",Fuga
21,Ave Maria,4,"(-2, -2, -2, -2, -2)","(-2, -2, -2, -2, -2)",Tenor,28,1.0,216.0,3,"[14.0, 58.0, 456.0]",Fuga
20,Ave Maria,4,"(-2, -2, -2, -2, -2)","(-2, -2, -2, -2, -2)",[Superius],85,1.0,672.0,4,"[14.0, 58.0, 456.0]",Fuga
177,Ave Maria,5,"(-2, -2, -2, -2, 1)","(-2, -2, -2, -2, 1)",Altus,95,1.0,756.0,1,"[48.0, 60.0, 8.0]",Fuga
