,pattern,sum_diffs,match_1_piece_title,match_2_piece_title,match_1_part,match_2_part,match_1_start_measure,match_2_start_measure,match_1_end_measure,match_2_end_measure
1,"(-3, -2, -2, 1, -2, 2)",0.0,Ave Maria,Ave Maria,Altus,Bassus,57,62,59,64
2,"(-3, -2, -2, 1, 1, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,56,61,58,63
6,"(-3, 1, 4, -2, -2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,102,103,104,105
7,"(-3, 1, 4, 1, -3, 1)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,100,101,103,104
8,"(-3, 2, -3, 2, -2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Altus,65,67,67,69
10,"(-3, 2, -3, 2, -2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,65,68,67,70
11,"(-3, 2, -3, 2, -2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Bassus,65,70,67,72
13,"(-3, 2, -3, 2, -2, -2)",0.0,Ave Maria,Ave Maria,Altus,Tenor,67,68,69,70
14,"(-3, 2, -3, 2, -2, -2)",0.0,Ave Maria,Ave Maria,Altus,Bassus,67,70,69,72
17,"(-3, 2, -3, 2, -2, -2)",0.0,Ave Maria,Ave Maria,Tenor,Bassus,68,70,70,72
19,"(-3, 2, -2, 2, -3, 2)",0.0,Ave Maria,Ave Maria,Tenor,Bassus,50,50,52,52
24,"(-3, 2, 2, -2, -2, -2)",0.6666666666666667,Ave Maria,Ave Maria,[Superius],Tenor,51,91,52,92
26,"(-3, 2, 2, 2, -3, 2)",0.0,Ave Maria,Ave Maria,[Superius],[Superius],44,46,47,49
29,"(-3, 2, 2, 2, -3, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,44,45,47,48
35,"(-3, 2, 2, 2, -3, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,46,45,49,48
51,"(-3, 2, 2, 2, -3, 2)",0.0,Ave Maria,Ave Maria,Bassus,Bassus,44,46,47,49
52,"(-3, 2, 2, 2, -3, 2)",0.75,Ave Maria,Ave Maria,Bassus,Bassus,44,48,47,50
53,"(-3, 2, 2, 2, -3, 2)",0.75,Ave Maria,Ave Maria,Bassus,Bassus,46,48,49,50
54,"(-3, 2, 2, 2, -2, 2)",0.0,Ave Maria,Ave Maria,[Superius],[Superius],44,46,47,49
57,"(-3, 2, 2, 2, -2, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,44,45,47,48
63,"(-3, 2, 2, 2, -2, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,46,45,49,48
79,"(-3, 2, 2, 2, -2, 2)",0.0,Ave Maria,Ave Maria,Bassus,Bassus,44,46,47,49
80,"(-3, 2, 2, 2, -2, 2)",0.75,Ave Maria,Ave Maria,Bassus,Bassus,44,48,47,50
81,"(-3, 2, 2, 2, -2, 2)",0.75,Ave Maria,Ave Maria,Bassus,Bassus,46,48,49,50
82,"(-3, 5, -2, -2, 2, 2)",0.0,Ave Maria,Ave Maria,Bassus,Bassus,116,124,118,126
85,"(-2, -3, 2, 2, -2, -2)",0.9166666666666667,Ave Maria,Ave Maria,[Superius],Tenor,51,90,52,92
88,"(-2, -3, 5, -2, -2, 2)",0.0,Ave Maria,Ave Maria,Bassus,Bassus,115,123,118,126
101,"(-2, -2, -3, 5, -2, -2)",0.0,Ave Maria,Ave Maria,Bassus,Bassus,115,123,117,125
143,"(-2, -2, -2, -2, 1, 2)",0.0,Ave Maria,Ave Maria,Altus,Altus,95,99,97,101
149,"(-2, -2, -2, -2, 1, 4)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,104,104,106,106
150,"(-2, -2, -2, -2, 2, -4)",0.5,Ave Maria,Ave Maria,Altus,Altus,131,135,133,137
153,"(-2, -2, -2, -2, 2, -3)",0.5,Ave Maria,Ave Maria,Altus,Altus,131,135,133,137
180,"(-2, -2, -2, -2, 2, 2)",0.0,Ave Maria,Ave Maria,Altus,Altus,95,99,97,101
200,"(-2, -2, -2, -2, 5, -8)",0.0,Ave Maria,Ave Maria,Altus,Altus,112,120,114,122
203,"(-2, -2, -2, 1, 3, -2)",0.0,Ave Maria,Ave Maria,[Superius],[Superius],113,121,115,123
