Pattern_Generating_Match,Pattern_matched,Piece_Title,Part,First Note Measure Number,Last Note Measure Number,Note_Durations,EMA,EMA url
"[5, -2, 2, 3]","[5, -2, 2, 3]",Veni speciosam,Superius,1,2,"[4.0, 6.0, 2.0, 2.0, 2.0]","1-2/1/@1.0-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/1-2/1/@1.0-end,@start-4.0"
"[5, -2, 2, 3]","[5, -2, 2, 3]",Veni speciosam,Superius,10,11,"[4.0, 6.0, 2.0, 2.0, 2.0]","10-11/1/@1.0-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/10-11/1/@1.0-end,@start-4.0"
"[5, -2, 2, 3]","[5, -2, 2, 3]",Veni speciosam,Superius,31,32,"[2.0, 6.0, 2.0, 2.0, 4.0]","31-32/1/@2.0-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/31-32/1/@2.0-end,@start-4.0"
"[5, -2, 2, 3]","[5, -2, 2, 3]",Veni speciosam,Contratenor,34,36,"[2.0, 6.0, 2.0, 2.0, 2.0]","34-36/2/@4.0-end,@start-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/34-36/2/@4.0-end,@start-end,@start-2.0"
"[5, -2, 2, 3]","[5, -2, 2, 3]",Veni speciosam,PrimusTenor,5,6,"[4.0, 6.0, 2.0, 2.0, 2.0]","5-6/3/@1.0-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/5-6/3/@1.0-end,@start-4.0"
"[5, -2, 2, 3]","[5, -2, 2, 3]",Veni speciosam,PrimusTenor,29,30,"[2.0, 6.0, 2.0, 2.0, 2.0]","29-30/3/@2.0-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/29-30/3/@2.0-end,@start-4.0"
"[5, -2, 2, 3]","[5, -2, 2, 3]",Veni speciosam,SecundusTenor,9,10,"[2.0, 6.0, 2.0, 3.0, 1.0]","9-10/4/@2.0-end,@start-4.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/9-10/4/@2.0-end,@start-4.5"
"[-2, 2, 3, -2]","[-2, 2, 3, -2]",Veni speciosam,Superius,1,3,"[6.0, 2.0, 2.0, 2.0, 2.0]","1-3/1/@3.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/1-3/1/@3.0-end,@start-end,@start-1.0"
"[-2, 2, 3, -2]","[-2, 2, 3, -2]",Veni speciosam,Superius,10,12,"[6.0, 2.0, 2.0, 2.0, 4.0]","10-12/1/@3.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/10-12/1/@3.0-end,@start-end,@start-1.0"
"[-2, 2, 3, -2]","[-2, 2, 3, -2]",Veni speciosam,Superius,31,33,"[6.0, 2.0, 2.0, 4.0, 2.0]","31-33/1/@3.0-end,@start-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/31-33/1/@3.0-end,@start-end,@start-2.0"
"[-2, 2, 3, -2]","[-2, 2, 3, -2]",Veni speciosam,Superius,35,37,"[4.0, 2.0, 2.0, 2.0, 3.0]","35-37/1/@4.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/35-37/1/@4.0-end,@start-end,@start-1.0"
"[-2, 2, 3, -2]","[-2, 2, 3, -2]",Veni speciosam,Superius,125,126,"[4.0, 2.0, 2.0, 1.0, 1.0]","125-126/1/@2.0-end,@start-2.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/125-126/1/@2.0-end,@start-2.5"
"[-2, 2, 3, -2]","[-2, 2, 3, -2]",Veni speciosam,Contratenor,3,4,"[6.0, 2.0, 2.0, 2.0, 2.0]","3-4/2/@1.0-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/3-4/2/@1.0-end,@start-3.0"
"[-2, 2, 3, -2]","[-2, 2, 3, -2]",Veni speciosam,Contratenor,35,36,"[6.0, 2.0, 2.0, 2.0, 3.0]","35-36/2/@1.0-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/35-36/2/@1.0-end,@start-3.0"
"[-2, 2, 3, -2]","[-2, 2, 3, -2]",Veni speciosam,PrimusTenor,5,7,"[6.0, 2.0, 2.0, 2.0, 2.0]","5-7/3/@3.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/5-7/3/@3.0-end,@start-end,@start-1.0"
"[-2, 2, 3, -2]","[-2, 2, 3, -2]",Veni speciosam,PrimusTenor,29,31,"[6.0, 2.0, 2.0, 2.0, 2.0]","29-31/3/@3.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/29-31/3/@3.0-end,@start-end,@start-1.0"
"[-2, 2, 3, -2]","[-2, 2, 3, -2]",Veni speciosam,PrimusTenor,37,39,"[4.0, 2.0, 2.0, 2.0, 3.0]","37-39/3/@4.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/37-39/3/@4.0-end,@start-end,@start-1.0"
"[-2, 2, 3, -2]","[-2, 2, 3, -2]",Veni speciosam,SecundusTenor,9,11,"[6.0, 2.0, 3.0, 1.0, 4.0]","9-11/4/@3.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/9-11/4/@3.0-end,@start-end,@start-1.0"
"[-2, 2, 3, -2]","[-2, 2, 3, -2]",Veni speciosam,SecundusTenor,32,34,"[6.0, 2.0, 4.0, 4.0, 3.0]","32-34/4/@1.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/32-34/4/@1.0-end,@start-end,@start-1.0"
"[-2, 2, 3, -2]","[-2, 2, 3, -2]",Veni speciosam,SecundusTenor,131,133,"[4.0, 2.0, 2.0, 4.0, 2.0]","131-133/4/@4.0-end,@start-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/131-133/4/@4.0-end,@start-end,@start-2.0"
"[-2, 2, 3, -2]","[-2, 2, 3, -2]",Veni speciosam,Bassus,7,8,"[6.0, 2.0, 2.0, 2.0, 3.0]","7-8/5/@1.0-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/7-8/5/@1.0-end,@start-3.0"
"[-2, 2, 3, -2]","[-2, 2, 3, -2]",Veni speciosam,Bassus,31,32,"[6.0, 2.0, 2.0, 2.0, 3.0]","31-32/5/@1.0-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/31-32/5/@1.0-end,@start-3.0"
"[2, 3, -2, -2]","[2, 3, -2, -2]",Veni speciosam,Superius,2,3,"[2.0, 2.0, 2.0, 2.0, 3.0]","2-3/1/@2.0-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/2-3/1/@2.0-end,@start-2.0"
"[2, 3, -2, -2]","[2, 3, -2, -2]",Veni speciosam,Superius,3,4,"[2.0, 2.0, 2.0, 2.0, 4.0]","3-4/1/@4.0-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/3-4/1/@4.0-end,@start-4.0"
"[2, 3, -2, -2]","[2, 3, -2, -2]",Veni speciosam,Superius,11,12,"[2.0, 2.0, 2.0, 4.0, 2.0]","11-12/1/@2.0-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/11-12/1/@2.0-end,@start-3.0"
"[2, 3, -2, -2]","[2, 3, -2, -2]",Veni speciosam,Superius,32,33,"[2.0, 2.0, 4.0, 2.0, 4.0]","32-33/1/@2.0-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/32-33/1/@2.0-end,@start-3.0"
"[2, 3, -2, -2]","[2, 3, -2, -2]",Veni speciosam,Superius,36,37,"[2.0, 2.0, 2.0, 3.0, 1.0]","36-37/1/@2.0-end,@start-2.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/36-37/1/@2.0-end,@start-2.5"
"[2, 3, -2, -2]","[2, 3, -2, -2]",Veni speciosam,Superius,41,43,"[2.0, 2.0, 4.0, 2.0, 4.0]","41-43/1/@4.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/41-43/1/@4.0-end,@start-end,@start-1.0"
"[2, 3, -2, -2]","[2, 3, -2, -2]",Veni speciosam,Superius,45,47,"[2.0, 2.0, 4.0, 2.0, 4.0]","45-47/1/@4.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/45-47/1/@4.0-end,@start-end,@start-1.0"
"[2, 3, -2, -2]","[2, 3, -2, -2]",Veni speciosam,Superius,51,52,"[4.0, 2.0, 3.0, 1.0, 1.0]","51-52/1/@1.0-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/51-52/1/@1.0-end,@start-2.0"
"[2, 3, -2, -2]","[2, 3, -2, -2]",Veni speciosam,Superius,125,126,"[2.0, 2.0, 1.0, 1.0, 1.0]","125-126/1/@4.0-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/125-126/1/@4.0-end,@start-3.0"
"[2, 3, -2, -2]","[2, 3, -2, -2]",Veni speciosam,Contratenor,3,4,"[2.0, 2.0, 2.0, 2.0, 3.0]","3-4/2/@4.0-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/3-4/2/@4.0-end,@start-4.0"
"[2, 3, -2, -2]","[2, 3, -2, -2]",Veni speciosam,Contratenor,35,36,"[2.0, 2.0, 2.0, 3.0, 1.0]","35-36/2/@4.0-end,@start-4.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/35-36/2/@4.0-end,@start-4.5"
"[2, 3, -2, -2]","[2, 3, -2, -2]",Veni speciosam,Contratenor,44,45,"[2.0, 2.0, 4.0, 2.0, 4.0]","44-45/2/@2.0-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_4.0/CRIM_Model_0001.mei/44-45/2/@2.0-end,@start-3.0"
